invoice_no,account_name,branch_code,pharmacy_id,alias_id,supplier_code,match_score,match_method,match_status,entry_date,total_after_discount,record_state
300918,EL Life Line,721,,,,0.0,unmatched,UNMATCHED,11122024,4971.58,CLSD
300936,Ph/Union Pharm Faisal04,768,,,,0.0,unmatched,UNMATCHED,22-Dec-2024,8456.74,
300944,Ph/el nasr oct city (2),749,,,,0.0,unmatched,UNMATCHED,20122024,3378.91,CLSD
300952,NILE CAREE DOKKI-A,707,,,,0.0,unmatched,UNMATCHED,15122024,3431.96,CLSD
300957,ELITE AGAMI 6th Zone899,779,,,,0.0,unmatched,UNMATCHED,20122024,4382.76,CLSD
300970,PH star care oct city Main Road,781,,,,0.0,unmatched,UNMATCHED,05-Dec-2024,4754.68,CLSD
300971,PH star care oct city Main Road,716,,,,0.0,unmatched,UNMATCHED,05122024,4896.2,CLSD
300986,PH ANGEL SMOUHA,732,,,,0.0,unmatched,UNMATCHED,08122024,7920.67,CLSD
300987,PY//MISSR 04,705,,,,0.0,unmatched,UNMATCHED,13122024,5269.28,
300991,Ph/el hokama Mall,735,,,,0.0,unmatched,UNMATCHED,20122024,6859.79,
300995,el Elite br.2,770,,,,0.0,unmatched,UNMATCHED,28122024,3340.49,
300999,MISR SMOUHA  Branch 1,715,,,,0.0,unmatched,UNMATCHED,04122024,2101.38,
301000,MISR MOUHA Branch 1,703,,,,0.0,unmatched,UNMATCHED,07122024,1399.26,
301008,star care 04,715,,,,0.0,unmatched,UNMATCHED,20-Dec-2024,8761.18,CLSD
301015,PY/Family Nozha-A,756,,,,0.0,unmatched,UNMATCHED,21122024,4502.02,CLSD
301016,el Angel Montaza 6th Znoe,753,,,,0.0,unmatched,UNMATCHED,26122024,1651.68,CLSD
301019,EL BBARAKA NASR-A,777,,,,0.0,unmatched,UNMATCHED,10-Dec-2024,1881.71,CLSD
301024,Hope Branch 1,752,,,,0.0,unmatched,UNMATCHED,07122024,1675.64,CLSD
301027,Star Care,781,,,,0.0,unmatched,UNMATCHED,28122024,3036.68,
301036,El-SUNRISE OCT CITY 011221,778,,,,0.0,unmatched,UNMATCHED,09122024,7585.98,
301042,el El Hokama Agami (2),722,,,,0.0,unmatched,UNMATCHED,16122024,2800.37,
301045,El-Hope Rehab View Branch 1,773,,,,0.0,unmatched,UNMATCHED,25122024,5235.27,CLSD
301059,PH el hokam anasr br.2,754,,,,0.0,unmatched,UNMATCHED,19122024,2884.69,CLSD
301060,Ph/el hokama nasr Maain Road,772,,,,0.0,unmatched,UNMATCHED,05122024,8769.18,
301065,El-STAR CARE FAISAL Branch 1,725,,,,0.0,unmatched,UNMATCHED,14122024,2388.38,
301086,Ph/city care nasr-A,762,,,,0.0,unmatched,UNMATCHED,18122024,2620.71,CLSD
301091,El-el hoama Mall,719,,,,0.0,unmatched,UNMATCHED,04122024,2645.48,
301094,El-El Hokama 04,727,,,,0.0,unmatched,UNMATCHED,28122024,3961.44,CLSD
301095,metro0 11989,721,,,,0.0,unmatched,UNMATCHED,06122024,3668.0,
301113,Union Pharm Branch 2,711,,,,0.0,unmatched,UNMATCHED,20122024,1939.91,CLSD
301116,El-Star Caer Smouha (2),745,,,,0.0,unmatched,UNMATCHED,11122024,1332.83,
301120,Ph/el zzahraa,757,,,,0.0,unmatched,UNMATCHED,08122024,1142.67,
301126,Ph/Angel Nasr r.2,725,,,,0.0,unmatched,UNMATCHED,18122024,3944.97,
301127,EL ANGEL NASR,711,,,,0.0,unmatched,UNMATCHED,24122024,3418.05,CLSD
301128,EL MIRA SMOUHA Main Road,725,,,,0.0,unmatched,UNMATCHED,05122024,3445.03,CLSD
301138,PH ELITE NASR 6thZ one400,713,,,,0.0,unmatched,UNMATCHED,28122024,6793.56,
301140,El Faraby Nasr Station St.,721,,,,0.0,unmatched,UNMATCHED,22122024,2829.03,CLSD
301142,al amal nasr728,746,,,,0.0,unmatched,UNMATCHED,26122024,2645.26,
301143,el EL FARABY NSAR,733,,,,0.0,unmatched,UNMATCHED,23122024,1841.54,
301145,elite 04,708,,,,0.0,unmatched,UNMATCHED,24122024,513.75,CLSD
301146,elite 04,774,,,,0.0,unmatched,UNMATCHED,28122024,1165.25,
301147,elite 04,738,,,,0.0,unmatched,UNMATCHED,17122024,3197.61,CLSD
301149,PY/Elite Station St.,745,,,,0.0,unmatched,UNMATCHED,15122024,2303.7,
301160,PY/Alpha Pharma Faisal,722,,,,0.0,unmatched,UNMATCHED,21122024,4597.66,
301169,PY/dr medhat faisal,742,,,,0.0,unmatched,UNMATCHED,10122024,5826.59,CLSD
301172,El-E Hokama Smouha,745,,,,0.0,unmatched,UNMATCHED,04122024,1769.37,CLSD
301176,PY/pharma plus zayed 6th Zone,774,,,,0.0,unmatched,UNMATCHED,01-Dec-2024,3263.21,
301177,Dr Medhat Nozha Mall,779,,,,0.0,unmatched,UNMATCHED,14122024,5078.2,
301179,El-dr medhatt nozha Mall,728,,,,0.0,unmatched,UNMATCHED,10122024,6056.52,
301186,El-el tourath br.2,704,,,,0.0,unmatched,UNMATCHED,05122024,3787.21,CLSD
301197,PH PHARMAPLUS,751,,,,0.0,unmatched,UNMATCHED,19122024,1525.62,
301210,Ell-BetterLife br.2,705,,,,0.0,unmatched,UNMATCHED,26122024,4871.74,CLSD
301217,El-Care 24 Seven Branch 2118,758,,,,0.0,unmatched,UNMATCHED,16122024,5360.3,CLSD
301220,Ph/Alpha Pharma,709,,,,0.0,unmatched,UNMATCHED,28122024,3504.59,
301221,EL El Shfa Agami,722,,,,0.0,unmatched,UNMATCHED,16122024,1770.46,
301222,el Omega 6th Zone460,732,,,,0.0,unmatched,UNMATCHED,20-Dec-2024,2394.75,
301232,el El Zahraa Faisal 6th Zone,703,,,,0.0,unmatched,UNMATCHED,03122024,2650.34,CLSD
301239,El--Elite Oct City (2),770,,,,0.0,unmatched,UNMATCHED,13122024,2860.1,CLSD
301247,seha first faisal br.2,732,,,,0.0,unmatched,UNMATCHED,14122024,2882.2,CLSD
301258,el LIFE ILNE 011,724,,,,0.0,unmatched,UNMATCHED,21122024,2459.62,
301263,EL el hoama dokki,703,,,,0.0,unmatched,UNMATCHED,26122024,1272.2,
301270,el hope faisal Main Road,750,,,,0.0,unmatched,UNMATCHED,08122024,7171.78,CLSD
301274,PH Seha First Dokk iMain Road,772,,,,0.0,unmatched,UNMATCHED,13122024,6364.58,CLSD
301277,PH DR MEDHAT FAISAL Branch 1,741,,,,0.0,unmatched,UNMATCHED,06122024,1845.25,
301281,PY/Al Nzoha,759,,,,0.0,unmatched,UNMATCHED,20122024,1601.5,CLSD
301284,golden crae faisal-A,764,,,,0.0,unmatched,UNMATCHED,04122024,2268.26,
301305,lif eline mohandessin-A,701,,,,0.0,unmatched,UNMATCHED,20122024,1890.38,CLSD
301309,PH misr mohandessin t6h Zone,769,,,,0.0,unmatched,UNMATCHED,09122024,2952.14,CLSD
301310,Misr Mohandessin (2),781,,,,0.0,unmatched,UNMATCHED,12122024,4400.96,
301311,seha first dokki Station St.,763,,,,0.0,unmatched,UNMATCHED,26122024,3030.89,CLSD
301316,el etro,731,,,,0.0,unmatched,UNMATCHED,20122024,2544.22,CLSD
301320,Omega Nozha Branch 1,707,,,,0.0,unmatched,UNMATCHED,04122024,673.11,CLSD
301348,e lnasr 04,755,,,,0.0,unmatched,UNMATCHED,28122024,1517.75,CLSD
301350,EL ElNasr,767,,,,0.0,unmatched,UNMATCHED,21122024,7111.58,CLSD
301352,EL ElNaasr,774,,,,0.0,unmatched,UNMATCHED,14122024,6914.53,
301365,Ph/HOE HARAM 011,777,,,,0.0,unmatched,UNMATCHED,24122024,4112.19,CLSD
301368,HOPEH ARAM (2),707,,,,0.0,unmatched,UNMATCHED,07122024,1426.94,CLSD
301371,E el nasr (2),774,,,,0.0,unmatched,UNMATCHED,01122024,7325.88,CLSD
301373,EL TOURATH 6ht Zone,707,,,,0.0,unmatched,UNMATCHED,07122024,3056.05,CLSD
301382,EBN SINA Station St.,781,,,,0.0,unmatched,UNMATCHED,25122024,5534.88,CLSD
301390,Mira,760,,,,0.0,unmatched,UNMATCHED,10122024,2184.67,CLSD
301392,PH Sunrise Maadi 011,781,,,,0.0,unmatched,UNMATCHED,20-Dec-2024,2737.49,
301394,EL care 24 seven mohandessin 04,744,,,,0.0,unmatched,UNMATCHED,01122024,10774.91,CLSD
301399,Ph/El Tourath,744,,,,0.0,unmatched,UNMATCHED,28122024,4165.69,CLSD
301404,El-Silver Care Mohandessin,749,,,,0.0,unmatched,UNMATCHED,09122024,5148.59,CLSD
301408,Green Leaf 011576,742,,,,0.0,unmatched,UNMATCHED,09-Dec-2024,2818.09,CLSD
301416,angel,780,,,,0.0,unmatched,UNMATCHED,15122024,1836.25,
301429,Dr Medhat Oct City-A,735,,,,0.0,unmatched,UNMATCHED,04122024,2323.12,CLSD
301432,EL HKOAMA Statio St.,753,,,,0.0,unmatched,UNMATCHED,14122024,1006.12,CLSD
301438,PY/METRO ONTAZA,758,,,,0.0,unmatched,UNMATCHED,16-Dec-2024,1670.42,
301444,ELfamily helwan Main Road,732,,,,0.0,unmatched,UNMATCHED,16-Dec-2024,1625.33,
301455,el Star Care Helwan br.2,780,,,,0.0,unmatched,UNMATCHED,15122024,1937.52,CLSD
301457,Ph/AL AMAL BANHA 011,713,,,,0.0,unmatched,UNMATCHED,10122024,3253.05,
301464,PhAl Nozha br.2,710,,,,0.0,unmatched,UNMATCHED,11122024,836.77,CLSD
301475,Ph/Dr Medhat Shubra Mall,736,,,,0.0,unmatched,UNMATCHED,11122024,940.69,CLSD
301481,PY/Omega Mohandessin br.2,716,,,,0.0,unmatched,UNMATCHED,12122024,3331.34,CLSD
301482,omega mohandessin,763,,,,0.0,unmatched,UNMATCHED,01122024,823.36,CLSD
301491,El-El Shifa Dokki Branch 1,771,,,,0.0,unmatched,UNMATCHED,09122024,5651.28,
301494,PY/el shifa ddokki-A,739,,,,0.0,unmatched,UNMATCHED,09122024,1846.1,
301507,e lcare 24 seven 011,763,,,,0.0,unmatched,UNMATCHED,07012025,1406.63,
301512,el EL TOURATH 011,723,,,,0.0,unmatched,UNMATCHED,07012025,2723.57,CLSD
301514,el union pharm,759,,,,0.0,unmatched,UNMATCHED,17-Jan-2025,4028.9,CLSD
301523,EL Green Leaf br.2,747,,,,0.0,unmatched,UNMATCHED,08012025,8024.77,CLSD
301547,Ph/EL ZAHRAA IMBABA Branch 1,733,,,,0.0,unmatched,UNMATCHED,04012025,1462.1,
301559,blue wave smouha Branch 1,741,,,,0.0,unmatched,UNMATCHED,18012025,2124.61,
301560,El-PHARMA PLUS 04,723,,,,0.0,unmatched,UNMATCHED,01012025,6042.05,CLSD
301573,mira marg Main Road,764,,,,0.0,unmatched,UNMATCHED,24012025,4975.71,
301574,El-MIRA SMOUHA,776,,,,0.0,unmatched,UNMATCHED,09012025,1279.21,CLSD
301590,EL El Faraby393,758,,,,0.0,unmatched,UNMATCHED,26012025,2193.4,CLSD
301591,El-metro smouha (2),725,,,,0.0,unmatched,UNMATCHED,22012025,942.52,
301596,Misr (2),718,,,,0.0,unmatched,UNMATCHED,17012025,2929.47,
301601,ELITE AGAMI Mall,717,,,,0.0,unmatched,UNMATCHED,10012025,2714.72,
301606,Sunrise-A,720,,,,0.0,unmatched,UNMATCHED,18012025,5093.87,
301607,el GREEN LEAF955,705,,,,0.0,unmatched,UNMATCHED,02012025,984.42,
301611,PH metro montaza 6th Zone,771,,,,0.0,unmatched,UNMATCHED,16012025,1225.09,
301612,el Metro Montaza,735,,,,0.0,unmatched,UNMATCHED,06012025,3693.25,
301614,Al Amal Maadi 011,774,,,,0.0,unmatched,UNMATCHED,24012025,2615.92,
301621,Elm-ira229,735,,,,0.0,unmatched,UNMATCHED,13012025,883.32,
301625,El Hokama Smouha,705,,,,0.0,unmatched,UNMATCHED,07012025,4959.96,
301629,PH star care oct city Branch 1,742,,,,0.0,unmatched,UNMATCHED,17012025,3417.56,
301640,el El Baraka Obour (2)994,716,,,,0.0,unmatched,UNMATCHED,21012025,1736.55,
301641,PY/El Baraka Obour-A715,742,,,,0.0,unmatched,UNMATCHED,03012025,2705.13,
301644,EL el zahraa smouha Station St.,779,,,,0.0,unmatched,UNMATCHED,13012025,1776.7,CLSD
301654,EL BARAKA SUARE602,758,,,,0.0,unmatched,UNMATCHED,17012025,4183.84,
301656,Ph/elite,779,,,,0.0,unmatched,UNMATCHED,02012025,2266.52,CLSD
301662,misr smouha 6th Zone,707,,,,0.0,unmatched,UNMATCHED,21012025,8604.61,
301665,El-misr smouha,705,,,,0.0,unmatched,UNMATCHED,17012025,2532.35,
301666,PY/el hokama imbaba 04,768,,,,0.0,unmatched,UNMATCHED,08012025,8162.61,
