doc_no,account_ref,doc_date,doc_time,doc_type,line_count
300302,P:2016,15/10/2024,17:09,INV,7
300303,P:2021,23/10/2024,09:26,INV,4
300305,P:2029,13/10/2024,09:17,INV,3
300306,P:2034,28/10/2024,12:02,INV,7
300308,P:2034,21/10/2024,10:47,INV,3
300309,P:2034,09/10/2024,18:29,INV,3
300312,P:2082,20/10/2024,09:57,INV,7
300314,P:2091,21/10/2024,13:51,INV,9
300318,P:2107,19/10/2024,08:42,INV,7
300319,P:2110,23/10/2024,13:33,INV,7
300321,P:2117,11/10/2024,10:32,INV,2
300322,P:2120,22/10/2024,10:12,INV,6
300325,P:2129,07/10/2024,10:40,INV,5
300326,P:2131,08/10/2024,12:59,INV,8
9300326,P:2131,08/10/2024,15:59,CR,2
300328,P:2132,03/10/2024,10:57,INV,4
300329,P:2132,17/10/2024,12:11,INV,5
300331,P:2134,19/10/2024,13:11,INV,12
300334,P:2173,16/10/2024,08:38,INV,4
300335,P:2173,04/10/2024,11:04,INV,7
300337,P:2175,10/10/2024,14:45,INV,11
300338,P:2175,26/10/2024,12:03,INV,4
300341,P:2264,07/10/2024,16:33,INV,5
300342,P:2264,22/10/2024,15:24,INV,4
300343,P:2292,13/10/2024,13:57,INV,6
300344,P:2293,26/10/2024,09:49,INV,10
300346,P:2293,24/10/2024,17:53,INV,12
300349,P:2324,07/10/2024,08:27,INV,11
300350,P:2324,06/10/2024,19:45,INV,12
300352,P:2368,06/10/2024,08:09,INV,6
300355,P:2381,19/10/2024,12:04,INV,3
300356,P:2383,13/10/2024,09:35,INV,3
300360,P:2397,15/10/2024,15:42,INV,10
300361,P:2397,17/10/2024,08:15,INV,8
300363,P:2450,05/10/2024,13:35,INV,7
300369,P:2480,15/10/2024,11:18,INV,7
300371,P:2531,19/10/2024,13:52,INV,4
300372,P:2535,14/10/2024,10:04,INV,4
300374,P:2557,20/10/2024,12:54,INV,9
300375,P:2557,11/10/2024,15:36,INV,5
300376,P:2563,02/10/2024,08:34,INV,5
300378,P:2570,21/10/2024,13:10,INV,12
300379,P:2570,20/10/2024,08:41,INV,6
300381,P:2598,10/10/2024,15:42,INV,6
300382,P:2604,21/10/2024,09:50,INV,15
300383,P:2604,04/10/2024,10:21,INV,3
300388,P:2639,25/10/2024,13:54,INV,15
300389,P:2639,20/10/2024,13:12,INV,4
300390,P:2639,14/10/2024,09:34,INV,7
300391,P:2639,23/10/2024,08:37,INV,5
300392,P:2648,02/10/2024,13:38,INV,5
300395,P:2671,21/10/2024,12:44,INV,6
300396,P:2673,02/10/2024,14:41,INV,6
300397,P:2673,27/10/2024,11:59,INV,4
300398,P:2707,02/10/2024,14:13,INV,6
300400,P:2707,11/10/2024,11:35,INV,5
300404,P:2729,15/10/2024,13:26,INV,5
300405,P:2738,03/10/2024,14:59,INV,10
300406,P:2764,05/10/2024,13:39,INV,9
300411,P:1013,25/11/2024,12:05,INV,7
300414,P:1016,04/11/2024,14:34,INV,3
300417,P:1019,10/11/2024,11:32,INV,7
300418,P:1019,15/11/2024,10:42,INV,7
300419,P:1019,06/11/2024,15:29,INV,10
300422,P:1026,19/11/2024,08:52,INV,15
300423,P:1026,20/11/2024,10:24,INV,10
300425,P:1039,23/11/2024,16:19,INV,10
300427,P:1049,28/11/2024,16:48,INV,10
300433,P:1099,21/11/2024,16:49,INV,5
300434,P:1099,10/11/2024,10:32,INV,6
300435,P:1116,05/11/2024,18:32,INV,5
300436,P:1118,28/11/2024,08:07,INV,7
300437,P:1118,24/11/2024,11:10,INV,7
300439,P:1118,05/11/2024,14:22,INV,7
300440,P:1135,13/11/2024,15:03,INV,11
300443,P:1144,26/11/2024,13:47,INV,11
300444,P:1156,22/11/2024,11:43,INV,15
300447,P:1164,07/11/2024,18:13,INV,9
300448,P:1166,07/11/2024,17:40,INV,7
300453,P:1181,10/11/2024,10:21,INV,6
300455,P:1193,13/11/2024,14:38,INV,4
300456,P:1199,21/11/2024,12:50,INV,8
300458,P:1206,20/11/2024,13:59,INV,9
300461,P:1230,19/11/2024,13:17,INV,8
300462,P:1248,19/11/2024,08:19,INV,9
300464,P:1256,17/11/2024,12:24,INV,3
300465,P:1256,16/11/2024,16:20,INV,8
300466,P:1262,23/11/2024,10:49,INV,8
300467,P:1266,01/11/2024,12:06,INV,13
300469,P:1287,17/11/2024,13:36,INV,2
300471,P:1288,17/11/2024,15:49,INV,6
300472,P:1292,07/11/2024,13:08,INV,8
300473,P:1292,26/11/2024,12:40,INV,5
300475,P:1323,07/11/2024,11:25,INV,7
300477,P:1330,15/11/2024,09:49,INV,3
300478,P:1332,28/11/2024,12:19,INV,2
300479,P:1332,09/11/2024,12:50,INV,8
300480,P:1347,28/11/2024,09:19,INV,3
300482,P:1347,21/11/2024,12:40,INV,7
300483,P:1348,06/11/2024,15:21,INV,8
300484,P:1357,08/11/2024,15:08,INV,8
300486,P:1361,03/11/2024,10:41,INV,6
300487,P:1363,08/11/2024,10:18,INV,7
300488,P:1382,19/11/2024,09:45,INV,10
300494,P:1404,13/11/2024,12:03,INV,15
300497,P:1443,10/11/2024,09:40,INV,6
300498,P:1445,02/11/2024,08:32,INV,5
300501,P:1468,07/11/2024,17:49,INV,9
300503,P:1471,25/11/2024,13:29,INV,7
300504,P:1471,12/11/2024,15:10,INV,8
300507,P:1480,16/11/2024,12:30,INV,4
300508,P:1480,23/11/2024,13:58,INV,6
300513,P:1497,12/11/2024,17:51,INV,8
300514,P:1505,14/11/2024,10:59,INV,9
300515,P:1505,16/11/2024,19:50,INV,6
300516,P:1510,10/11/2024,10:25,INV,10
300519,P:1537,27/11/2024,18:53,INV,7
300520,P:1537,27/11/2024,08:59,INV,5
300521,P:1537,22/11/2024,10:32,INV,7
300523,P:1546,16/11/2024,11:59,INV,6
300524,P:1546,10/11/2024,10:29,INV,5
300525,P:1551,07/11/2024,12:11,INV,6
300526,P:1551,25/11/2024,11:13,INV,3
300527,P:1562,04/11/2024,14:15,INV,4
300528,P:1563,19/11/2024,19:35,INV,5
300529,P:1563,09/11/2024,14:55,INV,4
300533,P:1575,12/11/2024,12:34,INV,8
300534,P:1575,08/11/2024,08:19,INV,5
300535,P:1576,20/11/2024,14:05,INV,4
300537,P:1592,09/11/2024,12:49,INV,8
300539,P:1592,02/11/2024,10:40,INV,9
300540,P:1592,15/11/2024,12:37,INV,12
300542,P:1595,07/11/2024,11:07,INV,3
300544,P:1596,10/11/2024,12:21,INV,8
300546,P:1602,14/11/2024,08:20,INV,7
300547,P:1603,13/11/2024,10:29,INV,5
300548,P:1603,05/11/2024,13:20,INV,4
300551,P:1621,26/11/2024,08:48,INV,5
300552,P:1621,14/11/2024,13:40,INV,10
300553,P:1623,19/11/2024,09:30,INV,12
300560,P:1643,22/11/2024,09:26,INV,4
300561,P:1643,27/11/2024,11:02,INV,9
9300561,P:1643,27/11/2024,18:02,CR,2
300562,P:1643,17/11/2024,11:00,INV,7
300565,P:1647,03/11/2024,14:51,INV,15
300569,P:1662,15/11/2024,17:42,INV,3
300571,P:1669,08/11/2024,13:23,INV,6
300572,P:1669,17/11/2024,13:56,INV,4
300575,P:1673,17/11/2024,15:04,INV,6
300576,P:1697,24/11/2024,10:23,INV,10
300578,P:1710,06/11/2024,13:37,INV,6
300579,P:1710,24/11/2024,11:57,INV,3
300583,P:1718,14/11/2024,08:40,INV,5
300586,P:1725,17/11/2024,12:45,INV,7
300588,P:1733,14/11/2024,15:13,INV,9
300592,P:1750,08/11/2024,08:48,INV,3
300593,P:1750,03/11/2024,16:57,INV,12
300596,P:1780,22/11/2024,08:20,INV,9
300597,P:1780,17/11/2024,14:07,INV,8
300600,P:1795,24/11/2024,11:39,INV,8
300603,P:1805,17/11/2024,15:22,INV,10
300605,P:1805,06/11/2024,13:58,INV,5
300606,P:1839,01/11/2024,10:53,INV,7
300608,P:1855,15/11/2024,10:38,INV,8
300609,P:1855,24/11/2024,16:45,INV,8
300612,P:1866,13/11/2024,14:26,INV,6
300613,P:1875,14/11/2024,14:37,INV,9
300615,P:1879,16/11/2024,16:18,INV,15
300617,P:1879,21/11/2024,08:00,INV,6
300618,P:1879,25/11/2024,11:41,INV,7
300621,P:1890,25/11/2024,12:50,INV,10
300624,P:1912,02/11/2024,11:55,INV,14
300625,P:1923,03/11/2024,08:32,INV,9
300627,P:1935,28/11/2024,15:47,INV,4
300629,P:1959,16/11/2024,08:52,INV,4
300631,P:1966,08/11/2024,12:02,INV,8
300633,P:1972,21/11/2024,12:07,INV,2
300634,P:1977,06/11/2024,10:25,INV,4
300635,P:1991,02/11/2024,12:40,INV,3
300637,P:1991,11/11/2024,14:23,INV,8
300638,P:1991,16/11/2024,10:44,INV,9
300640,P:1996,08/11/2024,15:55,INV,5
300643,P:1997,17/11/2024,08:02,INV,9
300645,P:2016,10/11/2024,11:23,INV,6
300646,P:2016,17/11/2024,12:00,INV,5
300647,P:2021,09/11/2024,08:41,INV,6
300648,P:2021,28/11/2024,08:03,INV,8
300650,P:2025,18/11/2024,10:11,INV,3
300652,P:2040,14/11/2024,13:54,INV,11
300654,P:2047,10/11/2024,11:28,INV,6
300662,P:2078,05/11/2024,08:07,INV,11
300664,P:2078,13/11/2024,15:02,INV,15
300665,P:2078,05/11/2024,16:14,INV,7
300666,P:2082,28/11/2024,15:49,INV,5
300667,P:2087,24/11/2024,11:40,INV,6
300669,P:2091,14/11/2024,11:33,INV,3
300671,P:2101,22/11/2024,08:27,INV,7
300672,P:2101,26/11/2024,08:19,INV,4
300673,P:2101,23/11/2024,11:30,INV,5
300678,P:2126,13/11/2024,10:22,INV,5
300680,P:2131,12/11/2024,10:15,INV,5
300681,P:2131,19/11/2024,10:25,INV,5
300684,P:2134,26/11/2024,14:02,INV,6
300685,P:2134,03/11/2024,11:00,INV,13
300687,P:2146,27/11/2024,13:05,INV,5
300693,P:2186,08/11/2024,13:50,INV,15
300694,P:2186,02/11/2024,10:56,INV,5
300695,P:2196,09/11/2024,08:08,INV,4
300698,P:2206,27/11/2024,13:54,INV,6
300700,P:2219,01/11/2024,10:29,INV,11
300701,P:2219,09/11/2024,14:15,INV,4
300705,P:2234,20/11/2024,18:33,INV,7
300706,P:2234,11/11/2024,13:02,INV,5
300707,P:2234,11/11/2024,10:46,INV,5
300709,P:2247,16/11/2024,08:20,INV,15
300712,P:2259,27/11/2024,08:14,INV,6
300713,P:2259,15/11/2024,15:21,INV,8
300716,P:2264,16/11/2024,15:29,INV,11
300717,P:2279,20/11/2024,11:39,INV,7
300718,P:2284,04/11/2024,10:58,INV,10
300719,P:2292,25/11/2024,11:47,INV,6
300721,P:2292,17/11/2024,09:05,INV,5
300722,P:2292,12/11/2024,11:02,INV,3
300727,P:2349,26/11/2024,11:35,INV,7
300728,P:2349,08/11/2024,09:55,INV,11
300729,P:2356,08/11/2024,08:29,INV,4
300730,P:2356,19/11/2024,09:19,INV,4
300731,P:2356,19/11/2024,09:03,INV,9
300735,P:2368,02/11/2024,12:33,INV,4
300742,P:2383,28/11/2024,12:11,INV,3
300743,P:2388,28/11/2024,08:30,INV,5
300744,P:2394,20/11/2024,15:53,INV,4
300745,P:2411,08/11/2024,11:05,INV,5
300747,P:2434,23/11/2024,11:49,INV,5
300749,P:2455,06/11/2024,15:12,INV,3
300751,P:2472,05/11/2024,08:33,INV,2
300753,P:2473,26/11/2024,13:18,INV,8
300755,P:2496,15/11/2024,13:17,INV,7
300756,P:2510,08/11/2024,08:04,INV,8
300757,P:2510,03/11/2024,11:02,INV,3
300759,P:2525,03/11/2024,14:00,INV,5
300760,P:2525,25/11/2024,13:49,INV,15
300761,P:2525,18/11/2024,13:50,INV,6
300763,P:2537,11/11/2024,08:17,INV,9
300764,P:2537,06/11/2024,09:38,INV,3
300766,P:2539,21/11/2024,08:15,INV,7
300767,P:2541,23/11/2024,14:53,INV,5
300768,P:2541,09/11/2024,10:45,INV,7
300769,P:2549,27/11/2024,11:48,INV,6
300770,P:2549,28/11/2024,16:17,INV,8
300772,P:2557,24/11/2024,14:11,INV,6
300775,P:2563,26/11/2024,10:52,INV,4
300776,P:2563,13/11/2024,18:32,INV,3
300778,P:2574,21/11/2024,12:34,INV,12
300779,P:2574,13/11/2024,17:04,INV,12
300780,P:2576,06/11/2024,10:06,INV,3
300781,P:2583,20/11/2024,12:04,INV,6
300785,P:2598,14/11/2024,10:59,INV,9
300786,P:2598,09/11/2024,15:57,INV,5
300791,P:2604,13/11/2024,08:35,INV,3
300793,P:2623,27/11/2024,12:28,INV,6
300796,P:2652,13/11/2024,08:42,INV,3
300800,P:2655,08/11/2024,11:58,INV,4
300802,P:2657,05/11/2024,13:35,INV,7
300806,P:2691,03/11/2024,15:14,INV,10
300810,P:2707,18/11/2024,10:46,INV,6
300811,P:2721,02/11/2024,13:55,INV,5
300815,P:2729,20/11/2024,18:09,INV,7
300816,P:2736,11/11/2024,08:34,INV,3
300817,P:2737,05/11/2024,14:00,INV,7
300819,P:2741,17/11/2024,14:38,INV,3
300825,P:2764,23/11/2024,09:32,INV,9
300831,P:2786,28/11/2024,13:37,INV,7
300835,P:2792,08/11/2024,13:16,INV,7
300840,P:1016,11/12/2024,10:29,INV,6
9300840,P:1016,11/12/2024,14:29,CR,2
300843,P:1021,17/12/2024,11:25,INV,6
300844,P:1029,25/12/2024,09:25,INV,5
300845,P:1029,14/12/2024,12:48,INV,9
300846,P:1029,26/12/2024,13:39,INV,11
300848,P:1036,25/12/2024,13:01,INV,9
300850,P:1042,10/12/2024,20:16,INV,9
300853,P:1048,17/12/2024,09:51,INV,4
300855,P:1049,06/12/2024,11:22,INV,2
300857,P:1049,26/12/2024,15:56,INV,7
300858,P:1049,25/12/2024,11:05,INV,11
300861,P:1062,02/12/2024,10:19,INV,4
300862,P:1062,23/12/2024,09:03,INV,2
300863,P:1064,04/12/2024,08:14,INV,5
300864,P:1074,18/12/2024,08:47,INV,7
300866,P:1076,05/12/2024,12:36,INV,10
300867,P:1079,03/12/2024,16:56,INV,7
300871,P:1093,27/12/2024,09:12,INV,6
300873,P:1099,15/12/2024,08:39,INV,3
300876,P:1102,21/12/2024,17:04,INV,6
300877,P:1102,16/12/2024,13:20,INV,10
300878,P:1102,08/12/2024,14:46,INV,7
300880,P:1116,17/12/2024,08:27,INV,5
300884,P:1118,14/12/2024,13:35,INV,7
300885,P:1118,23/12/2024,08:52,INV,10
300886,P:1118,15/12/2024,09:07,INV,10
300887,P:1118,25/12/2024,11:38,INV,3
300888,P:1118,16/12/2024,09:43,INV,11
300889,P:1118,09/12/2024,12:04,INV,6
300890,P:1121,27/12/2024,08:45,INV,6
300891,P:1128,24/12/2024,09:20,INV,3
300892,P:1129,05/12/2024,08:31,INV,5
300893,P:1131,09/12/2024,11:54,INV,5
300894,P:1135,09/12/2024,11:02,INV,5
300895,P:1135,06/12/2024,15:38,INV,3
300898,P:1138,13/12/2024,08:36,INV,4
300901,P:1141,09/12/2024,16:46,INV,8
300902,P:1143,21/12/2024,11:18,INV,6
300903,P:1143,16/12/2024,10:29,INV,5
300904,P:1143,21/12/2024,13:13,INV,6
300905,P:1144,11/12/2024,13:49,INV,8
300907,P:1156,06/12/2024,10:39,INV,10
300909,P:1159,15/12/2024,19:40,INV,10
300915,P:1173,01/12/2024,12:59,INV,6
300916,P:1174,10/12/2024,14:41,INV,14
300919,P:1181,23/12/2024,11:10,INV,12
300920,P:1183,07/12/2024,12:49,INV,11
300921,P:1183,23/12/2024,08:13,INV,9
300923,P:1187,25/12/2024,16:12,INV,5
300924,P:1187,18/12/2024,14:54,INV,12
300926,P:1199,26/12/2024,10:04,INV,13
300927,P:1199,24/12/2024,18:51,INV,7
300928,P:1200,18/12/2024,08:34,INV,4
300929,P:1206,10/12/2024,17:28,INV,11
300930,P:1213,15/12/2024,12:29,INV,9
300931,P:1213,09/12/2024,14:40,INV,5
300932,P:1213,15/12/2024,14:27,INV,5
300933,P:1227,03/12/2024,11:10,INV,6
300934,P:1227,18/12/2024,13:11,INV,4
300937,P:1230,11/12/2024,17:59,INV,10
300938,P:1230,24/12/2024,15:11,INV,2
300940,P:1233,26/12/2024,12:03,INV,5
300941,P:1238,26/12/2024,17:48,INV,7
300945,P:1254,15/12/2024,17:04,INV,6
300946,P:1262,03/12/2024,12:19,INV,3
300947,P:1262,24/12/2024,15:57,INV,6
300950,P:1278,19/12/2024,13:41,INV,7
300951,P:1278,11/12/2024,11:55,INV,5
300954,P:1296,25/12/2024,14:58,INV,4
300956,P:1304,15/12/2024,15:21,INV,9
300958,P:1304,22/12/2024,11:07,INV,7
300959,P:1314,27/12/2024,17:23,INV,8
300960,P:1320,26/12/2024,12:02,INV,6
300962,P:1320,23/12/2024,08:22,INV,9
300964,P:1326,05/12/2024,13:53,INV,13
300966,P:1326,14/12/2024,12:40,INV,4
300967,P:1326,18/12/2024,10:58,INV,11
300968,P:1329,11/12/2024,12:58,INV,10
300972,P:1335,07/12/2024,15:31,INV,10
300973,P:1335,28/12/2024,11:01,INV,7
300974,P:1341,01/12/2024,13:31,INV,6
300975,P:1347,03/12/2024,10:24,INV,4
300977,P:1347,23/12/2024,11:09,INV,9
300980,P:1355,16/12/2024,10:32,INV,2
300981,P:1355,12/12/2024,08:43,INV,9
300982,P:1357,07/12/2024,12:00,INV,7
300983,P:1357,06/12/2024,13:37,INV,5
300984,P:1363,21/12/2024,16:12,INV,9
300985,P:1364,07/12/2024,19:53,INV,12
300988,P:1381,16/12/2024,10:30,INV,9
300990,P:1388,19/12/2024,13:43,INV,6
300992,P:1388,02/12/2024,13:23,INV,8
300993,P:1388,18/12/2024,12:49,INV,5
300996,P:1396,25/12/2024,16:56,INV,7
300997,P:1403,25/12/2024,09:41,INV,3
301003,P:1418,26/12/2024,10:52,INV,4
301005,P:1420,01/12/2024,16:14,INV,4
301009,P:1454,08/12/2024,12:04,INV,9
301010,P:1454,26/12/2024,11:13,INV,6
301011,P:1456,07/12/2024,16:14,INV,2
301012,P:1456,24/12/2024,12:31,INV,3
301013,P:1456,11/12/2024,18:57,INV,9
301014,P:1456,03/12/2024,08:04,INV,11
301022,P:1505,25/12/2024,15:00,INV,10
301023,P:1510,02/12/2024,14:58,INV,6
301025,P:1525,27/12/2024,08:18,INV,5
301026,P:1537,21/12/2024,11:39,INV,4
301028,P:1538,18/12/2024,14:52,INV,6
301029,P:1538,23/12/2024,13:48,INV,6
301030,P:1546,24/12/2024,16:36,INV,5
301031,P:1548,06/12/2024,14:15,INV,5
301033,P:1551,23/12/2024,08:56,INV,9
301034,P:1551,06/12/2024,08:13,INV,8
301035,P:1561,08/12/2024,12:54,INV,7
301037,P:1562,14/12/2024,15:06,INV,4
301040,P:1568,10/12/2024,13:09,INV,8
301041,P:1568,27/12/2024,12:13,INV,5
301043,P:1572,06/12/2024,08:57,INV,3
301048,P:1576,13/12/2024,08:35,INV,15
301049,P:1576,10/12/2024,18:03,INV,6
301051,P:1587,19/12/2024,12:52,INV,9
301052,P:1592,10/12/2024,15:02,INV,10
301053,P:1592,18/12/2024,16:24,INV,2
301054,P:1594,14/12/2024,11:07,INV,8
301055,P:1594,03/12/2024,13:27,INV,4
301056,P:1594,25/12/2024,10:03,INV,7
301062,P:1600,10/12/2024,15:32,INV,4
301063,P:1600,12/12/2024,13:32,INV,3
301064,P:1602,18/12/2024,13:27,INV,8
301067,P:1621,01/12/2024,15:06,INV,4
301068,P:1623,16/12/2024,13:52,INV,10
9301068,P:1623,16/12/2024,15:52,CR,2
301070,P:1625,16/12/2024,12:24,INV,7
301071,P:1625,03/12/2024,10:49,INV,15
301072,P:1626,09/12/2024,08:31,INV,3
301074,P:1632,26/12/2024,13:17,INV,4
301076,P:1642,09/12/2024,16:28,INV,5
301078,P:1647,19/12/2024,12:49,INV,7
301080,P:1650,07/12/2024,13:45,INV,9
301083,P:1662,15/12/2024,10:21,INV,6
301087,P:1671,02/12/2024,11:46,INV,9
