id,name,class,governorate,area,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4,lat,lon
1051,El Shifa Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-08,0,5926,31.20731,29.954266
1052,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-04,0,3801,31.21839,29.935135
1053,Mira Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-20,0,4803,31.201,29.947125
1054,Silver Care Pharmacy - Obour,,Alexandria,Smouha,10,23,1,2025-08-13,0,4143,31.210775,29.952243
1055,Al Amal Pharmacy,,Alexandria,Smouha,8,23,1,2025-02-04,0,9645,31.205074,29.926817
1056,Alpha Pharma,,Alexandria,Smouha,9,1,1,2024-09-04,1,3071,31.219916,29.942673
1057,Silver Care Pharmacy,,Alexandria,Smouha,9,1,1,2025-06-30,0,1178,31.205027,29.935449
1058,City Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-03-04,0,3156,31.209992,29.95489
1059,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-02,1,1150,31.205756,29.928429
1060,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-03-29,0,8929,31.210097,29.941305
1061,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-12,0,7054,31.214207,29.938028
1062,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-10-29,0,2375,31.207518,29.946208
1063,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-09,0,1076,31.211586,29.936653
1064,Alpha Pharma - Smouha,,Alexandria,Smouha,8,23,1,2024-11-07,0,6822,31.206358,29.947028
1065,El Hokama Pharmacy - Haram,,Alexandria,Smouha,9,23,1,2025-04-27,0,1649,31.214946,29.941359
1066,Sunrise Pharmacy - Nozha,,Alexandria,Smouha,9,23,1,2025-04-06,2,9264,31.205501,29.950643
1067,Salamtek Pharmacy,,Alexandria,Smouha,8,1,1,2025-01-24,0,4944,31.21183,29.932676
1068,Better Life Pharmacy,,Alexandria,Smouha,10,23,1,2025-04-12,0,3178,31.200047,29.938141
1069,Ebn Sina Pharmacy - Rehab View,,Alexandria,Smouha,9,23,1,2025-02-08,1,9970,31.213385,29.950152
1070,Star Care Pharmacy - Square,,Alexandria,Smouha,10,23,1,2025-06-30,1,2603,31.209073,29.932362
1071,Better Life Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-01-20,0,3972,31.206364,29.949671
1072,Nile Care Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-08-02,1,6258,31.215925,29.934348
1073,Hope Pharmacy - Obour,,Alexandria,Smouha,10,1,1,2025-03-08,0,9989,31.201085,29.946244
1074,Golden Care Pharmacy,,Alexandria,Smouha,8,1,1,2024-11-03,0,8757,31.211667,29.954721
1075,Angel Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-09-07,0,4754,31.206759,29.928597
1076,Salamtek Pharmacy,,Alexandria,Smouha,10,23,1,2024-11-01,0,8521,31.218686,29.943152
1077,Golden Care Pharmacy - Haram,,Alexandria,Smouha,9,23,1,2025-03-10,0,1538,31.203879,29.934533
1078,Salamtek Pharmacy - Imbaba,,Alexandria,Smouha,9,23,1,2025-08-22,0,1228,31.210115,29.956091
1079,Blue Wave Pharmacy - Rehab View,,Alexandria,Smouha,9,23,1,2024-09-13,0,5043,31.203563,29.93097
1080,Nile Care Pharmacy,,Alexandria,Smouha,9,2,1,2024-10-19,1,2146,31.209381,29.942849
1081,Dr Medhat Pharmacy,,Alexandria,Smouha,9,23,1,2025-09-01,0,1242,31.215131,29.940016
1082,El Shifa Pharmacy - Zayed,,Alexandria,Smouha,9,1,1,2025-05-06,1,4916,31.208023,29.947362
1083,Union Pharm - Smouha,,Alexandria,Smouha,9,23,1,2025-02-26,0,3116,31.209859,29.935437
1084,Care 24 Seven,,Alexandria,Smouha,8,23,1,2024-10-08,0,3180,31.204573,29.945186
1085,El Tourath Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-31,0,2430,31.216499,29.94121
1086,El Shifa Pharmacy,,Alexandria,Smouha,9,1,1,2025-02-14,0,2114,31.208523,29.94962
1087,Elite Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-03-08,0,8578,31.210751,29.931911
1088,Alpha Pharma,,Alexandria,Smouha,9,1,1,2025-06-28,0,4216,31.203313,29.942186
1089,City Care Pharmacy - Square,,Alexandria,Smouha,9,23,1,2025-01-27,0,6551,31.215781,29.948639
1090,El Faraby Pharmacy,,Alexandria,Smouha,10,2,1,2025-06-02,0,6618,31.209141,29.936125
1091,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-01-16,0,4145,31.205093,29.952336
1092,Al Amal Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-28,0,6023,31.219064,29.9363
1093,Silver Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2024-09-21,0,6713,31.202346,29.948132
1094,El Shifa Pharmacy,,Alexandria,Smouha,8,23,1,2025-09-03,0,4574,31.212774,29.951754
1095,Care 24 Seven - Helwan,,Alexandria,Smouha,9,23,1,2025-08-28,1,5617,31.206419,29.929427
1096,Nile Care Pharmacy,,Alexandria,Smouha,8,23,1,2025-08-06,1,5009,31.219034,29.943117
1097,Health Gate Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-05,1,5301,31.201929,29.934435
1098,Alpha Pharma - Smouha,,Alexandria,Smouha,9,1,1,2025-06-14,0,1623,31.209891,29.954186
1099,Family Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2024-11-20,0,6967,31.203249,29.928025
1100,Pharma Plus - Smouha,,Alexandria,Smouha,10,23,1,2024-12-05,0,7961,31.207957,29.942144
1101,Sunrise Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-04-01,0,8960,31.21069,29.93962
1102,Silver Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2024-12-18,0,2296,31.208566,29.945931
1103,Union Pharm - Maadi,,Alexandria,Smouha,9,1,1,2025-05-07,0,9857,31.208319,29.938043
1104,Better Life Pharmacy,,Alexandria,Smouha,9,2,1,2025-03-03,0,6595,31.206277,29.944358
1105,Blue Wave Pharmacy,,Alexandria,Smouha,8,23,1,2025-02-09,0,6202,31.217138,29.941433
1106,Care 24 Seven,,Alexandria,Smouha,9,1,1,2024-11-28,0,8696,31.206925,29.951034
1107,El Zahraa Pharmacy,,Alexandria,Smouha,8,23,1,2025-08-21,0,7600,31.212261,29.93007
1108,Dr Medhat Pharmacy - Montaza,,Alexandria,Smouha,9,23,1,2025-07-02,0,3589,31.203743,29.939603
1109,El Shifa Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-11,0,7957,31.212993,29.94577
1110,Salamtek Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-16,0,3232,31.209881,29.931302
1111,Life Line Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-01-21,0,4110,31.203858,29.953953
1112,Al Amal Pharmacy,,Alexandria,Smouha,10,1,1,2025-01-30,0,1388,31.217121,29.937671
1113,Blue Wave Pharmacy - Montaza,,Alexandria,Smouha,9,1,1,2024-12-28,0,7065,31.200733,29.948444
1114,Care 24 Seven - Dokki,,Alexandria,Smouha,8,23,1,2025-08-11,0,7305,31.214319,29.953215
1115,Mira Pharmacy,,Alexandria,Smouha,8,23,1,2025-03-29,0,5091,31.206624,29.928535
1116,El Shifa Pharmacy - Dokki,,Alexandria,Smouha,8,1,1,2024-09-27,0,6216,31.218937,29.94279
1117,Life Line Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-11-11,0,9798,31.204691,29.935606
1118,El Zahraa Pharmacy - Imbaba,,Alexandria,Smouha,9,23,1,2024-11-09,0,8860,31.209679,29.956482
1119,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-11-24,0,8662,31.203734,29.92895
1120,Union Pharm - Rehab View,,Alexandria,Smouha,9,1,1,2025-04-03,0,6375,31.208951,29.944241
1121,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-17,0,2857,31.213786,29.937457
1122,Life Line Pharmacy - Rehab View,,Alexandria,Smouha,9,23,1,2025-03-21,2,3235,31.207402,29.947824
1123,Alpha Pharma - Square,,Alexandria,Smouha,10,2,1,2025-08-08,0,9991,31.208757,29.933071
1124,El Shifa Pharmacy - Square,,Alexandria,Smouha,9,23,1,2025-05-27,0,6000,31.204373,29.944551
1125,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-03-01,1,7158,31.214306,29.943311
1126,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,2,1,2024-12-06,0,4379,31.207738,29.950717
1127,El Tourath Pharmacy,,Alexandria,Smouha,10,2,1,2025-08-25,0,8296,31.210525,29.931538
1128,Al Nozha Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2024-11-25,0,8471,31.202533,29.939051
1129,Pharma Plus,,Alexandria,Smouha,8,1,1,2024-11-22,1,7818,31.213344,29.949821
1130,El Baraka Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-07-19,0,2774,31.208999,29.933386
1131,Al Amal Pharmacy,,Alexandria,Smouha,10,1,1,2024-12-27,0,3667,31.203335,29.951416
1132,Star Care Pharmacy,,Alexandria,Smouha,9,2,1,2025-02-23,0,7798,31.215726,29.936391
1133,Health Gate Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-02-02,0,5278,31.201427,29.94709
1134,Mira Pharmacy,,Alexandria,Smouha,8,23,1,2025-07-18,0,9636,31.213761,29.954984
1135,Family Pharmacy,,Alexandria,Smouha,8,23,1,2024-09-27,0,7943,31.204378,29.927256
1136,Al Nozha Pharmacy,,Alexandria,Smouha,9,23,1,2025-06-27,0,1021,31.219732,29.942322
1137,Ebn Sina Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2024-12-21,0,6457,31.204394,29.934363
1138,Health Gate Pharmacy,,Alexandria,Smouha,8,23,1,2024-11-04,0,5940,31.210478,29.955776
1139,Omega Pharmacy - Square,,Alexandria,Smouha,8,23,1,2025-07-14,0,4232,31.203218,29.927305
1140,Better Life Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-04-30,0,4625,31.210023,29.94116
1141,Sunrise Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2024-11-27,0,4353,31.214631,29.937686
1142,Blue Wave Pharmacy,,Alexandria,Smouha,9,2,1,2025-04-25,0,5048,31.208457,29.946939
1143,Misr Pharmacy - Montaza,,Alexandria,Smouha,8,23,1,2024-10-20,0,7999,31.211447,29.935887
1144,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-10-31,1,4636,31.205261,29.944002
1145,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-04-21,0,7094,31.214538,29.942868
1146,El Zahraa Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-02-11,0,6984,31.20625,29.951173
1147,Seha First Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-05-02,0,8881,31.212755,29.933139
1148,El Baraka Pharmacy - Helwan,,Alexandria,Smouha,8,1,1,2025-06-13,0,1516,31.205135,29.941073
1149,Better Life Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-05-31,0,9173,31.214183,29.947926
1150,Star Care Pharmacy,,Alexandria,Smouha,9,1,1,2025-08-09,0,9676,31.208937,29.932683
1151,El Baraka Pharmacy - Helwan,,Alexandria,Smouha,8,1,1,2025-03-14,0,5496,31.205043,29.951118
1152,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2024-12-29,0,4237,31.216424,29.934342
1153,Mira Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-04-25,0,1114,31.20201,29.947757
1154,Pharma Plus - Smouha,,Alexandria,Smouha,9,1,1,2025-03-26,0,2132,31.21259,29.953931
1155,Pharma Plus,,Alexandria,Smouha,9,23,1,2024-09-04,0,3120,31.206994,29.928691
1156,Better Life Pharmacy,,Alexandria,Smouha,9,1,1,2024-09-18,1,5345,31.21662,29.94399
1157,Union Pharm,,Alexandria,Smouha,9,23,1,2025-03-27,0,9678,31.204217,29.935174
1158,El Shifa Pharmacy - Zayed,,Alexandria,Smouha,10,2,1,2024-09-20,0,8188,31.208986,29.953839
1159,El Hokama Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-26,0,2797,31.205385,29.929073
1160,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-07-18,0,1899,31.210225,29.94206
1161,El Tourath Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-06-19,0,9261,31.211648,29.940848
1162,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-02,0,1374,31.208573,29.948248
1163,Care 24 Seven,,Alexandria,Smouha,9,23,1,2025-08-29,0,9094,31.211879,29.936737
1164,Omega Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-21,0,7617,31.203659,29.945542
1165,Family Pharmacy,,Alexandria,Smouha,10,23,1,2025-02-24,2,1052,31.214273,29.941304
1166,Pharma Plus - Helwan,,Alexandria,Smouha,9,23,1,2024-10-02,2,1309,31.204563,29.950207
1167,Misr Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-01-14,0,9890,31.214488,29.931121
1168,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2025-03-20,0,4584,31.20401,29.940482
1169,El Shifa Pharmacy - Montaza,,Alexandria,Smouha,10,23,1,2024-12-14,0,1421,31.214886,29.948557
1170,Al Amal Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-31,2,4889,31.208637,29.93302
1171,Life Line Pharmacy - Agami,,Alexandria,Smouha,8,23,1,2025-01-21,2,7782,31.205188,29.951207
1172,Metro Pharmacy,,Alexandria,Smouha,10,23,1,2025-08-13,1,4871,31.218117,29.933701
1173,Blue Wave Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2024-09-15,0,9969,31.202022,29.949315
1174,Golden Care Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2024-09-28,0,1947,31.211701,29.954239
1175,Star Care Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-08-17,0,3690,31.206866,29.927937
1176,City Care Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-06-18,1,2895,31.218018,29.941505
1177,Metro Pharmacy,,Alexandria,Smouha,9,2,1,2025-05-03,0,9674,31.20301,29.932273
1178,El Nasr Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2025-07-27,1,5649,31.212098,29.954586
1179,Alpha Pharma,,Alexandria,Smouha,8,1,1,2025-07-07,0,2052,31.203649,29.928847
1180,Life Line Pharmacy,,Alexandria,Smouha,9,1,1,2024-12-07,0,2950,31.208506,29.941771
1181,Health Gate Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-21,0,6125,31.211736,29.938812
1182,Blue Wave Pharmacy,,Alexandria,Smouha,9,1,1,2025-07-28,0,4653,31.209279,29.94858
1183,Mira Pharmacy - Marg,,Alexandria,Smouha,8,23,1,2024-11-28,0,8998,31.210578,29.93398
1184,Golden Care Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-03-19,1,1570,31.203989,29.941563
1185,Mira Pharmacy - Dokki,,Alexandria,Smouha,8,23,1,2025-09-07,0,2014,31.21193,29.941664
1186,Star Care Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-14,1,1590,31.205637,29.950637
1187,Pharma Plus - Nozha,,Alexandria,Smouha,10,23,1,2024-11-30,0,8578,31.212193,29.930738
1188,El Baraka Pharmacy,,Alexandria,Smouha,8,23,1,2025-04-21,0,4441,31.202752,29.94125
1189,Mira Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-01,0,5138,31.21474,29.948401
1190,El Shifa Pharmacy,,Alexandria,Smouha,10,1,1,2025-03-13,0,8657,31.209498,29.931186
1191,Silver Care Pharmacy,,Alexandria,Smouha,8,23,1,2024-12-16,0,6915,31.208363,29.951495
1192,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-02-13,0,5603,31.218262,29.936257
1193,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-10-12,2,8760,31.202188,29.947298
1194,Misr Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-08-19,0,5954,31.214279,29.952608
1195,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-20,0,3560,31.206843,29.930031
1196,El Zahraa Pharmacy - Agami,,Alexandria,Smouha,8,23,1,2025-01-20,0,4915,31.220178,29.945422
1197,Al Amal Pharmacy - Obour,,Alexandria,Smouha,9,1,1,2025-06-19,0,2637,31.202402,29.933592
1198,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-08-01,0,4279,31.210241,29.958116
1199,El Tourath Pharmacy,,Alexandria,Smouha,8,23,1,2024-09-17,0,6079,31.203377,29.927821
1200,Family Pharmacy,,Alexandria,Smouha,9,1,1,2024-09-09,0,7902,31.209629,29.94116
1201,Salamtek Pharmacy,,Alexandria,Smouha,9,23,1,2025-04-23,0,4436,31.213274,29.939159
1202,Alpha Pharma,,Alexandria,Smouha,9,23,1,2025-08-05,0,8212,31.208298,29.945676
1203,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-02,0,8596,31.208889,29.93405
1204,Dr Medhat Pharmacy - Faisal,,Alexandria,Smouha,9,1,1,2025-02-14,0,1406,31.208126,29.946217
1205,Union Pharm,,Alexandria,Smouha,10,1,1,2025-07-01,0,9660,31.213577,29.939627
1206,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-03,0,2661,31.206302,29.949674
1207,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-06-02,0,7174,31.211181,29.932026
1208,Elite Pharmacy,,Alexandria,Smouha,8,1,1,2024-12-26,0,3306,31.204707,29.940299
1209,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-13,0,2097,31.213534,29.947784
1210,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-08-26,0,9536,31.210025,29.932504
1211,Golden Care Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-02,0,5605,31.203944,29.951748
1212,Al Amal Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-01-22,0,8914,31.21575,29.936401
1213,Nile Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-12-20,0,9990,31.20062,29.94686
1214,Star Care Pharmacy - Maadi,,Alexandria,Smouha,10,23,1,2025-06-17,0,3737,31.211693,29.955851
1215,Union Pharm - Smouha,,Alexandria,Smouha,9,1,1,2025-08-12,0,4876,31.206344,29.927815
1216,Hope Pharmacy,,Alexandria,Smouha,8,23,1,2024-11-12,0,7242,31.219307,29.944821
1217,Al Nozha Pharmacy,,Alexandria,Smouha,9,23,1,2025-06-06,0,6838,31.20429,29.932439
1218,Green Leaf Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-04-03,0,2336,31.210111,29.955551
1219,Union Pharm - Imbaba,,Alexandria,Smouha,9,1,1,2025-05-19,0,2883,31.205841,29.929118
1220,El Baraka Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-08-06,0,4255,31.208338,29.943556
1221,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2025-07-10,0,8864,31.213621,29.939742
1222,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-29,0,9249,31.208036,29.946162
1223,El Faraby Pharmacy - Obour,,Alexandria,Smouha,9,23,1,2025-02-19,1,9628,31.209476,29.936215
1224,Silver Care Pharmacy,,Alexandria,Smouha,9,2,1,2025-06-14,0,6518,31.205408,29.945187
1225,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-23,0,4079,31.215084,29.94253
1226,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-27,0,8981,31.206181,29.949967
1227,Union Pharm - Faisal,,Alexandria,Smouha,8,23,1,2024-10-19,0,7084,31.211831,29.933111
1228,Ebn Sina Pharmacy,,Alexandria,Smouha,8,23,1,2025-06-20,0,3932,31.205538,29.938829
1229,Misr Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-05-25,1,4770,31.213279,29.948294
1230,El Baraka Pharmacy,,Alexandria,Smouha,9,1,1,2024-11-21,0,9096,31.207512,29.933409
1231,Seha First Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-09-13,0,8631,31.204543,29.951135
1232,Hope Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-24,0,4593,31.216429,29.935127
1233,Angel Pharmacy,,Alexandria,Smouha,9,1,1,2024-12-15,1,3594,31.203782,29.947793
1234,Silver Care Pharmacy,,Alexandria,Smouha,10,23,1,2025-08-23,1,3825,31.213978,29.952788
1235,Salamtek Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2025-04-19,0,8192,31.205809,29.92794
1236,Dr Medhat Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-05,0,7832,31.220644,29.943761
1237,Health Gate Pharmacy - Square,,Alexandria,Smouha,9,23,1,2025-03-08,0,6440,31.204284,29.935946
1238,El Zahraa Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-16,0,6530,31.208558,29.957601
1239,El Baraka Pharmacy,,Alexandria,Smouha,9,2,1,2025-04-13,0,9034,31.206021,29.931072
1240,Seha First Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-31,1,3535,31.20998,29.943041
1241,Alpha Pharma - Helwan,,Alexandria,Smouha,9,2,1,2025-02-13,0,3844,31.214057,29.93988
1242,Al Amal Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-04-26,0,2820,31.208803,29.949076
