invoice_no,account_name,branch_code,entry_date,entry_time,account_address,governorate,area,gross_value,total_discount,total_after_discount,line_count,record_state
300506,PY/City Care Zayed Mall,756,23112024,10:57:38,Autostrad 52 - NasrCity,Alexandria,Smouha,9585.29,2162.83,7422.46,11,
300510,El-EEL NASR MAADI 011,773,11112024,08:28:52,173 market NASR CITY,,,3044.88,385.19,2659.69,4,CLSD
300518,Hope01 1,779,19112024,10:53:22,nasr city 163 Haram st. police st.,,,8390.78,2005.42,6385.36,7,
300536,el nasr oct city (2),712,08112024,09:36:30,"145 Salah Salem st., near gas station, Nas rCity",Cairo,Nasr City,4432.29,730.62,3701.67,8,
300550,el Star Care Faisal 011,706,14112024,12:49:49,,,,3499.06,689.59,2809.47,5,CLSD
300554,Elite Nasr Mall,753,23112024,12:15:24,Zayed 104 - Nasr Ctiy,,,3142.24,792.63,2349.61,4,CLSD
300559,Ph/Siilver Care Square,762,28112024,10:34:18,Nasr City 158 Port Said st. park,,,2455.85,449.92,2005.93,3,CLSD
300563,Ph/Siilver Care Square,701,04112024,08:10:24,35 square Nas rCity,,,2698.06,385.48,2312.58,7,
300566,el SILVER CAREE ZAYED 04,756,21112024,10:07:49,nasr city 102 Haram st. square,,,1664.72,286.82,1377.90,2,CLSD
300567,el shifa nozha Main Road,716,20112024,08:14:14,,,,4294.37,450.46,3843.91,8,CLSD
300570,PY/city care nasr 011984,773,01112024,09:49:03,"47 Corniche st., near mosque, Nasr City",,,9200.11,1139.22,8060.89,7,
300598,STAR CARE FFAISAL Branch 1,763,08112024,09:41:48,,,,5195.48,910.61,4284.87,9,CLSD
300604,GREEN LEAF SQUARE (2),730,20112024,17:31:05,Abbas 233 - Nasr Ctiy,,,1573.18,326.15,1247.03,5,CLSD
300610,PH better life nasr-A,708,23112024,11:25:14,nasr city 3 Corniche st. hospital,Alexandria,Smouha,3709.51,910.36,2799.15,5,CLSD
300611,PY/Elite Station St.,750,15112024,10:36:30,nasr city 34 Nile st. hospital,,,2034.31,229.00,1805.31,10,CLSD
300614,PH Life Line Faisal Station St.,747,08112024,18:34:32,Nasr  City 225 Gamet Dewal st. market,,,2010.36,223.06,1787.30,4,
300616,PH LIFE LINE FAISAL (2),703,22112024,09:46:02,184 square NASR CITY,,,5222.04,348.17,4873.87,11,CLSD
300619,El Hoakma,717,18112024,15:49:51,Nasr City 221 Gamet Dewal st. bridge,,,2464.63,191.41,2273.22,8,CLSD
300622,EL SUNRISE FAISAL 011,757,23112024,13:51:39,Faisal 74 Abbas st. bridge,,,7977.70,1998.68,5979.02,6,CLSD
300632,GOLDEN CARE FAISAL 011,718,19112024,08:26:12,205 market faisal,Giza,Faisal,1667.17,221.22,1445.95,4,
300641,el SEHA FIRST FAIASL,777,27112024,16:34:40,Faisal 197 Abbas st. police st.,,,4298.98,784.41,3514.57,8,
300642,Seha First Faisal-A,746,06112024,13:55:59,54 bridge Faisal,,,4280.69,410.41,3870.28,6,
300649,Ph/pharma plus-A,722,01112024,10:43:21,FAISAL 197 Mustafa Nahhas st. gas station,,,1028.98,73.51,955.47,2,
300653,EL BARAKA FAISAL Station St.,782,25112024,15:55:07,,,,12106.21,2082.18,10024.03,14,CLSD
300655,PY/care 24 seven 6th Zone,742,26112024,12:13:19,160 gas station FAISAL,,,3522.04,537.65,2984.39,6,CLSD
300656,PY/CARE 24 WH-717,758,01-Nov-2024,11:27:02,Faisal 67 Tahrir st. police st.,,,1144.80,127.20,1017.60,2,
300657,el SILVER CARE,704,06112024,17:44:08,"238 Haram st., near market, Faisal",,,6632.74,736.49,5896.25,7,
300659,PY/E lBaraka Marg Mall,745,04112024,12:13:17,,,,5206.28,727.81,4478.47,8,CLSD
300660,EL El Baraka Marg 04,781,10112024,11:29:32,,,,7966.83,1492.38,6474.45,9,CLSD
300661,EL el baraka marg,711,09112024,12:14:46,,,,5060.07,941.94,4118.13,10,
300674,Nile Care Faisal-A667,739,09-Nov-2024,16:42:38,,,,1672.28,393.92,1278.36,5,CLSD
300675,PY/Star are Mall,730,12112024,11:18:36,,,,3543.15,765.75,2777.40,10,
300677,PH/SILVER CARE WH-738,777,01112024,11:13:58,,,,3252.93,551.93,2701.00,8,CLSD
300679,El Hoakma 011,724,10-Nov-2024,12:21:44,,,,2857.25,253.35,2603.90,6,CLSD
300683,Sunrise Agmai 011,746,24112024,11:44:50,Faaisal 89 Abbas st. school,Giza,Faisal,2686.95,382.03,2304.92,4,CLSD
300692,PH e lhokama dokki (2),745,13-Nov-2024,12:47:12,,,,2146.80,228.89,1917.91,5,
300696,Ph/el zahraa nozha Mall,741,03112024,15:14:40,37 metro Faisal,,,1544.88,289.50,1255.38,3,
300703,EL Meto Faisal (2)424,721,15112024,13:10:30,,,,3689.43,406.72,3282.71,11,
300704,Ph/Mira Agami,750,03-Nov-2024,12:03:43,Faisal 188 9th District st. bridge,,,3745.58,419.46,3326.12,10,
300711,Blue Wave Smouha,769,08112024,13:00:46,Salah Salem 4 - faisal,,,10191.72,1781.65,8410.07,14,
300714,PY/al nozha Branch 2,716,12-Nov-2024,13:30:19,faisal 216 Geish st. mosque,,,9790.06,954.38,8835.68,15,CLSD
300723,PH Silver Care Montaza Branch 1,728,17112024,13:23:43,188 mosque Faisal,,,5001.36,804.50,4196.86,8,CLSD
300732,lif eline mohandessin-A,702,04112024,11:11:13,,,,5010.47,606.85,4403.62,6,
300734,life line mohandessin Mlal844,767,12112024,13:41:21,,,,1928.58,252.81,1675.77,3,
300737,el meetro Braanch 1,778,22112024,08:20:26,Faisal 106 - Mohandessin,,,2340.89,524.31,1816.58,6,
300738,EL Better Life Banha Main Road,744,23112024,08:39:31,Haram 74 - MOHANDESSIN,,,6316.04,386.60,5929.44,8,CLSD
300748,EL Star Care Smouha Branch 2,718,21112024,09:29:43,,,,1684.65,218.49,1466.16,4,CLSD
300771,El-Silver Care Maadi 011,782,01112024,17:51:02,Mohandessin 24 Horreya st. square,,,3191.78,627.68,2564.10,3,CLSD
300777,PY/Hope Mohandessin Station St.531,754,28112024,13:46:28,,,,6594.27,706.36,5887.91,13,
300783,Ph/El Baarka 04,706,26112024,16:31:05,"162 Faisal st., near square, Mohnadessin",,,1520.24,289.62,1230.62,3,
300787,PH Health Gate Station St.,710,02112024,11:44:24,Gamet Dewal 25 - Mohandessin,,,1524.75,458.73,1066.02,4,CLSD
300789,EL Al Amal Moohandessin br.2,702,03112024,10:34:37,Mohandessin 66 Nasr st. park,,,1374.02,153.72,1220.30,4,
300794,Al Amal Station St.,741,10112024,11:44:24,Mohandessin 200 Haram st. school,,,9156.98,2047.17,7109.81,11,
300798,Nile Care mIbaba Branch 1796,719,13112024,15:50:13,MOHANDESSIN 220 Nasr st. hospital,,,3240.35,705.72,2534.63,6,CLSD
300799,Nil Care Imbaba Branch 1796,779,01112024,08:29:48,Mustafa Nahhas 51 - Mohandesssin,,,3316.90,699.38,2617.52,11,
300807,el DR MEDHAT MOHANDESSIN br.2,777,25112024,13:34:30,,Alexandria,Smouha,4993.92,866.61,4127.31,15,CLSD
300808,nilecae 011,744,07112024,12:21:49,,,,858.70,87.60,771.10,7,
300813,EL MIISR DOKKI-A,780,11112024,13:04:22,1 police st. Mohandessin,,,2681.71,532.39,2149.32,6,CLSD
300826,PH Omega Mohnadessin MMall994,701,24112024,13:32:45,Horreya 124 - Mohadessin,,,2258.77,201.09,2057.68,3,CLSD
300833,Ph/Ebn Snia Imbaba,700,02112024,11:57:18,98 square Mohandessin,,,5102.92,860.54,4242.38,4,CLSD
300841,PH care 24 sseven 011,716,10-Dec-2024,10:59:36,smouha 76 Salah Salem st. metro,,,8108.76,913.39,7195.37,9,
300842,El-omega Branh 1,747,04122024,13:29:38,,,,7058.77,961.72,6097.05,15,
300847,PH misr smouha Station SSt.,750,03122024,16:44:25,,,,1079.10,119.46,959.64,2,
300851,Health Gate Smouha-A,777,27122024,12:30:44,9th District 33 - smouha,,,7202.40,1247.23,5955.17,15,CLSD
300852,EL Healt Gate Smoua-A,721,18-Dec-2024,19:58:20,,,,9945.81,1218.68,8727.13,15,
300860,EL Misr,711,22122024,10:06:29,,,,5772.32,790.27,4982.05,6,CLSD
300868,PH NILE CAREE Station St.,771,15122024,14:18:12,,Alexandria,Smouha,3198.15,551.10,2647.05,6,CLSD
300870,PH care 24 seven,756,27122024,14:40:10,"144 Industrial Zone st., near market, Smouha",Alexandria,Smouha,4124.90,968.60,3156.30,5,CLSD
300874,els ilver care smouha,728,13122024,10:04:46,Corniche 204 - Smouha,,,9202.48,1235.37,7967.11,11,CLSD
300875,Silver Care Smouha 6th Zone,770,10122024,09:27:33,16 market Smouha,,,2751.82,387.05,2364.77,8,CLSD
300879,PH Car 24 Seven Mall368,739,18122024,10:11:55,Autostrad 192 - Smoha,Cairo,Nasr City,3942.16,952.12,2990.04,7,
300883,el zahraa imbaba Mall,753,25122024,10:16:08,77 park Smuoha,,,3236.32,758.47,2477.85,7,
300899,PH Surnise Oct City,758,12122024,11:05:27,,,,3088.10,542.50,2545.60,7,CLSD
300900,EL Sunrise Oct City Station St.,721,10-Dec-2024,13:15:41,,,,5191.08,527.80,4663.28,6,
300906,blue wave smouha Branch 1,749,15122024,13:50:02,Smouha 60 Abbas st. bridge,,,4114.57,363.27,3751.30,9,CLSD
300908,PH El Shifa Zaye dMall,743,12122024,17:42:41,"153 Industrial Zone st., near square, Smuha",,,6980.66,585.59,6395.07,7,CLSD
300913,EL MOEGA,730,19122024,09:59:42,Smuha 215 Autostrad st. park,,,4557.80,972.89,3584.91,5,CLSD
300914,pharmaplus hlwan,733,17122024,13:19:12,,,,7815.75,1354.11,6461.64,7,
300917,El-Golden Care Banha,753,09122024,09:46:58,,,,1362.93,294.58,1068.35,6,CLSD
300918,EL Life Line,721,11122024,14:34:26,,,,5439.89,468.31,4971.58,9,CLSD
300935,PY/union pharm faisal214,752,24122024,11:21:32,,,,10025.78,2502.53,7523.25,10,CLSD
300936,Ph/Union Pharm Faisal04,768,22-Dec-2024,10:08:21,Faisal 113 - smouha,,,10380.50,1923.76,8456.74,14,
300944,Ph/el nasr oct city (2),749,20122024,13:19:40,,Giza,Faisal,3781.10,402.19,3378.91,6,CLSD
300952,NILE CAREE DOKKI-A,707,15122024,18:43:22,9th District 29 - Smouha,Alexandria,Smouha,3887.01,455.05,3431.96,7,CLSD
300957,ELITE AGAMI 6th Zone899,779,20122024,10:27:26,,,,5758.03,1375.27,4382.76,9,CLSD
300970,PH star care oct city Main Road,781,05-Dec-2024,17:00:03,Smouha 70 Geish st. school,,,5716.07,961.39,4754.68,8,CLSD
300971,PH star care oct city Main Road,716,05122024,12:16:03,"213 Port Said st., near police st., smouha",,,5438.91,542.71,4896.20,5,CLSD
300986,PH ANGEL SMOUHA,732,08122024,18:13:54,Gamet Dewal 99 - Smouha,,,9917.49,1996.82,7920.67,10,CLSD
300987,PY//MISSR 04,705,13122024,12:54:31,,,,5781.73,512.45,5269.28,5,
300991,Ph/el hokama Mall,735,20122024,10:14:09,,,,8271.34,1411.55,6859.79,5,
300995,el Elite br.2,770,28122024,13:32:01,Geish 183 - Souha,,,3824.00,483.51,3340.49,8,
300999,MISR SMOUHA  Branch 1,715,04122024,17:48:58,,,,2481.61,380.23,2101.38,3,
301000,MISR MOUHA Branch 1,703,07122024,15:53:52,122 mosque Smouha,,,1568.42,169.16,1399.26,6,
301007,Ph/El Nasr Main Road,739,16122024,13:43:31,"104 Tahrir st., near park, nasr city",,,3651.58,821.94,2829.64,9,
301008,star care 04,715,20-Dec-2024,11:40:30,,Giza,Faisal,9966.65,1205.47,8761.18,9,CLSD
301015,PY/Family Nozha-A,756,21122024,09:19:08,,Giza,Faisal,6032.13,1530.11,4502.02,7,CLSD
301016,el Angel Montaza 6th Znoe,753,26122024,15:14:56,,,,2125.88,474.20,1651.68,4,CLSD
301019,EL BBARAKA NASR-A,777,10-Dec-2024,12:29:08,Tahrir 84 - Nasr iCty,,,2256.60,374.89,1881.71,2,CLSD
301024,Hope Branch 1,752,07122024,10:51:10,Corniche 16 - NASR CITY,,,2140.45,464.81,1675.64,4,CLSD
301027,Star Care,781,28122024,08:51:21,"229 Abbas st., near park, Nasr City",,,3675.53,638.85,3036.68,12,
301036,El-SUNRISE OCT CITY 011221,778,09122024,10:52:53,28 hospital Nasr  City,,,8936.80,1350.82,7585.98,9,
301042,el El Hokama Agami (2),722,16122024,10:35:12,,,,3164.14,363.77,2800.37,6,
301045,El-Hope Rehab View Branch 1,773,25122024,14:21:26,Nile 40 - NasrCity,,,5986.95,751.68,5235.27,5,CLSD
301059,PH el hokam anasr br.2,754,19122024,08:38:06,,,,3333.61,448.92,2884.69,7,CLSD
301060,Ph/el hokama nasr Maain Road,772,05122024,13:07:56,,,,9949.16,1179.98,8769.18,13,
301065,El-STAR CARE FAISAL Branch 1,725,14122024,12:34:25,181 hospital NASR CITY,Alexandria,Smouha,2884.45,496.07,2388.38,5,
301086,Ph/city care nasr-A,762,18122024,16:06:56,,,,3261.16,640.45,2620.71,5,CLSD
301089,el shifa nasr Mall,700,27122024,12:35:05,,,,1883.86,248.33,1635.53,5,CLSD
301091,El-el hoama Mall,719,04122024,15:41:38,,,,3411.43,765.95,2645.48,8,
301094,El-El Hokama 04,727,28122024,12:45:36,"126 9th District st., near park, Nas City",Alexandria,Smouha,5106.50,1145.06,3961.44,4,CLSD
301095,metro0 11989,721,06122024,11:20:24,,,,4026.28,358.28,3668.00,7,
301098,Ph/Heealth Gate Agami 6th Zone,781,23122024,13:11:54,,,,8907.17,1578.25,7328.92,5,
301113,Union Pharm Branch 2,711,20122024,17:33:07,,,,2298.72,358.81,1939.91,3,CLSD
301116,El-Star Caer Smouha (2),745,11122024,08:39:07,,,,1530.29,197.46,1332.83,3,
301120,Ph/el zzahraa,757,08122024,11:08:43,,Giza,Mohandessin,1586.00,443.33,1142.67,2,
301126,Ph/Angel Nasr r.2,725,18122024,08:14:39,,,,5157.28,1212.31,3944.97,8,
301127,EL ANGEL NASR,711,24122024,15:28:23,Nasr iCty 208 Mustafa Nahhas st. hospital,Giza,Mohandessin,4115.15,697.10,3418.05,4,CLSD
301128,EL MIRA SMOUHA Main Road,725,05122024,17:41:28,,,,4382.01,936.98,3445.03,6,CLSD
301138,PH ELITE NASR 6thZ one400,713,28122024,11:03:18,,,,8319.27,1525.71,6793.56,11,
301140,El Faraby Nasr Station St.,721,22122024,11:01:52,Haram 18 - nasr city,,,3277.32,448.29,2829.03,7,CLSD
301142,al amal nasr728,746,26122024,08:03:05,Nasr City 119 Salah Salem st. square,,,3151.14,505.88,2645.26,3,
301143,el EL FARABY NSAR,733,23122024,09:39:46,,,,2109.30,267.76,1841.54,5,
301145,elite 04,708,24122024,10:40:23,,,,662.17,148.42,513.75,3,CLSD
301146,elite 04,774,28122024,13:38:42,,,,1329.54,164.29,1165.25,3,
301147,elite 04,738,17122024,13:57:29,"154 Port Said st., near school, Nasr City",,,3909.76,712.15,3197.61,6,CLSD
301149,PY/Elite Station St.,745,15122024,08:27:07,,,,2491.96,188.26,2303.70,7,
301154,PHS UNRISE FAISAL,754,25122024,11:14:51,,,,7002.27,1037.40,5964.87,12,
301160,PY/Alpha Pharma Faisal,722,21122024,08:41:31,Industrial Zone 179 - Faisal,,,5065.99,468.33,4597.66,10,
301169,PY/dr medhat faisal,742,10122024,18:41:14,Abbas 229 - Faisal,,,7397.36,1570.77,5826.59,10,CLSD
301172,El-E Hokama Smouha,745,04122024,12:26:54,,,,1955.43,186.06,1769.37,10,CLSD
301176,PY/pharma plus zayed 6th Zone,774,01-Dec-2024,19:06:52,"90 Geish st., near square, faisal",,,3860.19,596.98,3263.21,7,
301177,Dr Medhat Nozha Mall,779,14122024,14:02:03,"204 Zayed st., near police st., faisal",,,7031.46,1953.26,5078.20,5,
301179,El-dr medhatt nozha Mall,728,10122024,09:26:23,Faisal 174 Haram st. square,,,7140.87,1084.35,6056.52,10,
301186,El-el tourath br.2,704,05122024,11:07:21,186 gas station Faisal,,,4196.47,409.26,3787.21,4,CLSD
301188,Ph/Nie Cae Mall,734,07122024,10:54:45,214 school Faisal,,,4403.62,783.58,3620.04,9,
301197,PH PHARMAPLUS,751,19122024,10:56:54,"72 Mustafa Nahhas st., near metro, Faisal",,,1984.58,458.96,1525.62,5,
301210,Ell-BetterLife br.2,705,26122024,12:08:25,"3 Haram st., near metro, Faisal",,,5498.51,626.77,4871.74,10,CLSD
301214,Ph/NILE CARE-A,781,03122024,14:04:15,Autostrad 132 - Fisal,Alexandria,Smouha,2325.23,329.41,1995.82,5,CLSD
301217,El-Care 24 Seven Branch 2118,758,16122024,08:35:28,,,,6533.93,1173.63,5360.30,10,CLSD
301220,Ph/Alpha Pharma,709,28122024,10:31:19,77 park Faisal,,,4707.80,1203.21,3504.59,8,
301221,EL El Shfa Agami,722,16122024,09:53:53,"167 Mustafa Nahhas st., near metro, Fasal",Giza,Faisal,1979.88,209.42,1770.46,6,
301222,el Omega 6th Zone460,732,20-Dec-2024,10:29:33,,Giza,Faisal,3114.76,720.01,2394.75,8,
