doc_no,qty,unit_price,line_value,vat_flag
300044,2,146.53,275.02,
300047,1,94.08,78.94,
300047,7,49.14,280.07,
300047,7,78.26,449.73,
300047,4,160.86,558.63,
300047,5,102.82,440.19,
300048,4,29.96,92.69,
300048,2,202.95,323.46,
300048,2,22.01,34.54,
300048,4,418.74,1270.77,
300048,4,264.00,761.98,
300048,3,32.08,76.80,
300048,3,508.98,1194.13,
300048,4,71.67,233.14,
300048,4,101.66,338.36,
300048,1,126.26,95.97,
300049,7,12.20,70.95,
300049,6,150.48,744.96,
300049,6,48.15,224.96,
300049,4,242.88,765.29,
300049,4,48.74,149.49,
300049,6,76.15,368.96,
300049,2,42.80,72.91,
300049,4,88.51,286.78,
300049,4,128.17,391.53,
300050,3,17.80,42.27,
300050,4,520.20,1547.50,
300050,4,48.11,162.44,
300050,4,414.12,1199.63,
300050,3,161.73,372.46,
300050,3,19.78,45.29,
300050,2,17.69,27.53,
300050,2,309.33,451.71,
300051,5,125.14,552.99,
300051,2,18.13,31.33,
300051,2,41.27,65.88,
300051,5,214.43,863.27,
300051,3,103.10,245.11,
300052,6,7.65,33.26,
300052,2,149.57,213.14,
300052,9,19.28,125.63,
300053,2,35.97,50.01,
300053,6,30.23,138.75,
300053,4,323.51,936.25,
300054,6,95.04,427.14,
300054,4,136.88,449.25,
300054,7,289.80,1762.71,
300054,5,163.50,630.60,
300055,5,7.76,30.11,
300055,4,340.83,1070.31,
300055,2,123.95,200.95,
300055,3,467.67,1157.58,
300055,5,139.00,531.12,
300055,6,161.04,765.00,
300055,3,255.60,628.42,
300055,2,165.79,263.63,
300055,2,30.43,45.30,
300059,4,73.55,285.46,
300059,3,200.70,522.07,
300059,3,55.14,144.40,
300059,4,130.15,438.85,
300061,3,174.06,455.38,
300061,2,237.36,386.81,
300061,2,423.36,657.11,
300061,4,34.55,107.96,
300061,2,33.92,49.45,
300061,2,549.27,812.03,
300067,5,128.44,523.32,
300067,5,99.55,400.82,
300067,5,18.34,77.62,
300067,2,288.86,418.06,
300067,4,179.17,580.28,
300067,5,95.14,379.32,
300067,1,148.81,128.56,
300071,4,127.09,438.13,
300071,5,448.56,1876.26,
300071,6,84.31,409.07,
300071,5,157.32,692.61,
300071,2,504.39,844.85,
300072,1,233.04,207.01,
300072,7,73.55,417.94,
300072,6,123.07,617.92,
300072,3,116.35,295.96,
300072,3,61.98,162.62,
300072,3,223.68,584.88,
300073,1,250.32,193.33,
300073,4,250.32,885.43,
300073,4,17.68,56.46,
300073,6,19.26,94.71,
300073,5,116.47,471.97,
300073,7,337.37,1777.33,
300073,3,224.64,548.46,
300073,1,229.20,179.56,
300073,3,24.36,59.69,
300075,2,216.24,358.30,
300075,4,309.02,1060.19,
300075,2,32.04,56.55,
300075,6,237.84,1237.71,
300076,4,8.17,31.54,
300076,5,523.77,2423.09,
300076,2,296.42,523.18,
300077,2,456.54,757.03,
300077,5,307.76,1339.75,
300077,1,24.05,22.81,
300077,4,136.88,506.26,
300078,2,248.88,424.13,
300078,6,104.35,503.77,
300078,6,485.01,2482.50,
300078,6,161.92,839.23,
300078,2,472.26,825.93,
300080,3,110.33,266.79,
300080,1,513.57,382.04,
300080,4,8.22,27.03,
300080,3,62.46,147.87,
300080,5,65.21,264.44,
300087,4,420.00,1386.30,
300087,4,141.24,453.56,
300087,3,162.45,403.93,
300087,6,159.45,778.14,
300087,5,98.98,434.71,
300087,5,437.22,1899.41,
300087,1,390.60,348.43,
300089,4,62.16,215.43,
300089,3,139.08,367.16,
300089,5,24.91,99.53,
300089,4,263.28,975.25,
300090,3,23.02,58.88,
300090,3,98.98,264.60,
300090,4,137.86,438.96,
300090,4,144.28,504.27,
300094,5,22.82,106.45,
300094,9,18.97,150.47,
300094,4,24.96,93.47,
300094,2,194.75,370.30,
300094,3,127.12,358.15,
300097,3,512.55,1360.88,
300097,5,539.07,2335.88,
300097,6,123.90,643.69,
300097,3,183.04,480.60,
300097,6,64.36,368.79,
300097,3,186.21,503.50,
300097,6,114.46,626.18,
300098,5,410.34,1572.47,
300098,4,144.70,443.02,
300098,3,55.69,119.14,
300098,3,78.19,188.26,
300098,3,185.15,396.69,
300098,2,137.81,209.78,
300098,5,505.41,1810.63,
300098,8,234.96,1302.06,
300098,3,323.19,730.72,
300098,4,40.86,119.46,
300098,3,139.38,311.05,
300098,2,12.96,20.21,
300100,4,145.46,471.77,
300100,4,58.13,192.64,
300100,1,142.30,114.67,
300100,6,320.36,1462.16,
300100,9,225.60,1632.22,
300100,3,57.83,141.88,
300101,2,7.72,11.63,
300101,5,66.06,259.81,
300101,2,159.63,258.93,
300101,4,33.83,112.86,
300101,4,192.90,657.80,
300101,4,7.45,24.01,
300106,2,7.38,12.06,
300106,8,112.22,785.53,
300106,2,124.08,221.09,
300106,6,165.22,953.01,
300106,5,161.58,799.17,
300106,6,13.40,68.45,
300106,6,71.12,370.12,
300106,2,163.40,283.77,
300106,1,22.66,20.45,
300107,4,447.72,1599.51,
300107,2,19.55,34.88,
300107,6,77.79,403.38,
300107,3,81.80,210.81,
300107,4,127.64,444.49,
300110,4,334.22,1160.35,
300110,5,253.92,1218.92,
300110,5,41.13,185.36,
300110,4,319.73,1252.01,
300110,6,125.27,667.90,
300110,5,64.29,308.57,
300110,1,192.91,173.52,
300111,7,164.46,1092.53,
300111,2,126.32,230.67,
300111,3,85.49,233.81,
300111,4,416.22,1565.79,
300111,2,446.04,813.73,
300111,3,109.74,302.13,
300111,4,79.99,285.25,
300111,4,100.90,376.77,
300111,4,219.84,827.71,
300111,3,115.29,326.21,
300112,1,23.06,19.35,
300112,5,538.56,2228.84,
300112,8,96.29,614.57,
300112,3,79.05,199.26,
300112,6,325.40,1752.40,
300112,2,436.38,703.98,
300112,1,82.50,64.59,
300112,5,172.66,743.89,
300112,5,7.40,29.10,
300114,7,256.08,1577.44,
300114,3,43.29,110.91,
300114,3,78.74,219.24,
300114,2,197.01,337.34,
300114,3,22.94,63.50,
300115,5,64.05,246.22,
300115,4,496.23,1465.15,
300115,3,8.09,17.61,
300115,5,12.95,47.30,
300115,10,215.05,1605.89,
300115,3,82.27,190.21,
300115,6,12.99,59.33,
300115,3,302.72,698.92,
300115,5,297.99,1057.57,
300118,6,130.81,690.60,
300118,3,154.89,405.55,
300118,3,251.28,649.54,
300118,4,8.41,27.02,
300118,2,59.05,108.13,
300118,6,7.70,38.67,
300118,4,11.35,37.77,
300118,5,47.21,205.72,
300120,2,523.77,819.16,
300120,3,75.12,171.69,
300120,7,125.43,631.57,
300120,6,58.68,268.55,
300120,4,417.90,1223.46,
300121,5,123.16,542.56,
300121,5,555.39,2290.65,
300121,5,133.72,572.65,
300121,7,36.20,221.86,
300122,2,30.49,53.80,
300122,9,13.73,110.39,
300122,4,62.53,209.97,
300122,3,8.18,21.37,
300122,2,296.42,480.94,
300122,6,166.67,906.28,
300122,4,82.97,297.82,
300122,4,178.29,626.29,
300122,2,111.51,183.40,
300122,6,11.80,57.41,
300122,4,92.74,330.56,
300122,6,145.77,765.78,
300122,1,72.06,67.27,
300122,3,7.58,19.20,
300122,7,125.55,831.17,
300123,4,414.54,1478.79,
300123,3,213.20,552.86,
300123,7,8.13,51.57,
300123,8,42.93,292.23,
300123,4,427.56,1361.34,
300123,4,57.89,191.78,
300123,3,158.54,394.15,
300123,4,32.64,111.51,
300123,4,47.52,164.17,
300123,1,288.86,255.57,
300124,8,183.22,1177.91,
300124,4,242.16,843.59,
300124,4,173.18,593.67,
300124,5,291.38,1234.09,
300124,3,7.66,17.19,
300124,5,12.85,47.66,
300125,2,122.13,197.77,
300125,2,18.20,30.15,
300125,4,74.10,246.66,
300125,5,173.89,675.43,
300125,2,506.43,887.24,
300125,2,145.20,230.11,
300125,4,159.63,536.56,
300125,4,166.85,580.13,
300128,4,60.88,193.87,
300128,2,7.50,11.49,
300128,5,23.86,86.09,
300128,5,217.92,901.30,
300128,3,251.76,585.06,
300128,3,139.79,310.55,
300128,7,56.61,324.33,
300128,4,292.64,942.68,
300128,4,505.92,1494.62,
300131,3,294.84,798.56,
300131,3,23.54,64.09,
300131,6,238.32,1356.02,
300131,5,18.56,87.79,
300131,8,165.09,1153.84,
300132,5,41.49,177.63,
300132,7,35.57,205.74,
300132,6,66.25,313.29,
300132,3,261.60,627.74,
300132,4,559.47,1708.78,
300132,5,62.83,243.37,
300136,6,16.92,92.80,
300136,4,337.05,1225.22,
300136,9,60.94,482.47,
300138,5,329.49,1474.88,
300138,5,17.69,74.86,
300138,4,57.40,181.99,
300138,2,8.39,13.30,
300138,2,240.48,405.49,
300139,7,496.74,2656.09,
300139,4,46.44,139.08,
300139,4,24.55,67.73,
300139,5,12.71,46.91,
300139,2,8.27,11.89,
300139,3,8.10,17.78,
300139,4,47.88,144.67,
300140,4,86.19,294.47,
300140,4,44.10,156.76,
300140,4,8.73,32.56,
300140,2,148.81,260.69,
300140,3,137.41,373.89,
300141,2,7.94,13.62,
300141,4,17.48,62.88,
300141,4,60.94,218.77,
300141,8,222.48,1528.40,
300141,2,23.76,44.40,
300141,4,13.03,46.52,
300141,4,197.01,743.70,
300141,4,13.50,48.94,
300141,5,125.40,576.40,
300142,3,511.02,1399.21,
300142,1,536.01,469.12,
300142,5,120.60,567.16,
300142,5,66.19,286.47,
300142,7,12.56,82.09,
300142,6,239.76,1301.13,
300142,3,220.58,576.34,
300143,2,170.02,314.84,
300143,6,192.54,1018.11,
300143,2,8.29,13.50,
300143,7,441.00,2777.04,
300143,3,13.60,33.50,
300143,2,24.26,44.58,
300143,4,76.69,258.39,
300143,3,313.11,741.85,
300143,2,143.64,244.54,
300143,3,12.24,34.40,
300144,4,94.37,331.09,
300144,5,33.36,145.10,
300144,1,18.36,15.21,
300144,7,142.42,878.10,
300149,5,187.99,800.99,
300149,5,17.19,78.33,
300149,3,17.77,43.37,
300149,4,58.50,212.41,
300150,3,91.87,253.29,
300150,5,180.58,798.54,
300150,5,8.10,35.77,
300150,4,18.92,65.42,
300150,5,178.46,769.24,
300150,2,193.25,362.91,
300150,5,165.38,768.85,
300151,5,142.12,524.53,
300151,5,11.86,44.65,
300151,2,11.79,17.47,
300151,4,508.47,1503.06,
300151,9,114.22,717.16,
300151,5,131.74,478.19,
300152,2,8.67,12.58,
300152,3,139.92,316.10,
300152,3,13.68,33.48,
300152,5,18.97,73.42,
300152,6,152.91,692.25,
300152,7,253.20,1400.39,
300153,2,484.50,800.82,
300153,3,73.48,196.73,
300153,4,48.96,171.49,
300153,2,171.07,292.27,
300153,3,326.97,902.34,
300153,3,198.65,532.21,
300154,5,396.90,1875.31,
300154,2,45.90,73.50,
300154,6,41.99,215.94,
300154,1,12.88,11.89,
300155,6,12.54,66.92,
300155,2,16.25,28.47,
300155,2,98.78,173.78,
300155,5,13.53,57.18,
300155,4,183.39,646.49,
300155,6,7.98,44.87,
300155,4,223.04,814.81,
300155,5,24.38,100.91,
300155,4,532.95,1864.88,
300156,3,308.07,840.79,
300156,5,209.51,906.64,
300156,3,98.30,270.50,
300156,7,106.32,641.71,
300156,7,7.48,46.63,
300156,5,143.49,673.01,
300156,2,12.56,22.92,
300156,6,94.46,529.84,
300156,6,145.31,814.61,
300157,5,172.13,685.34,
300157,2,201.11,292.73,
300157,2,300.20,490.41,
300157,4,7.61,22.15,
300157,5,234.24,933.87,
300157,2,55.82,86.13,
300157,3,452.34,1110.07,
300157,3,187.62,420.56,
300157,7,143.03,753.89,
300159,5,450.24,2036.52,
300159,1,158.93,139.33,
300159,5,196.39,897.31,
300159,5,84.15,386.16,
300159,6,45.86,252.84,
300159,6,231.60,1219.65,
300160,4,119.72,425.39,
300160,4,79.99,274.70,
300160,5,164.16,709.05,
300160,5,23.18,97.53,
300160,6,190.96,1019.62,
300160,5,94.85,400.37,
300160,3,138.02,335.37,
300160,5,482.46,1994.22,
300160,4,57.46,205.52,
300161,7,19.53,107.93,
300161,3,183.74,468.00,
300161,7,429.66,2457.39,
300161,3,46.80,109.84,
300161,6,11.34,50.49,
300161,2,32.47,54.59,
300161,7,41.40,230.31,
300161,5,72.30,287.08,
300162,4,192.19,576.03,
300162,4,463.08,1462.69,
300162,4,227.28,725.31,
300162,3,531.93,1193.88,
300162,6,18.63,86.44,
300162,4,142.30,420.63,
300162,2,127.38,213.57,
300162,3,42.71,95.17,
300162,6,219.12,1082.88,
300166,6,328.23,1510.54,
300166,3,170.37,389.37,
300166,3,77.09,162.39,
300167,8,440.16,2997.46,
300167,4,319.41,1122.30,
300167,3,7.82,20.94,
300167,1,62.65,55.57,
300167,4,8.61,29.28,
300167,3,100.51,269.20,
300167,6,21.82,116.13,
300167,5,33.46,154.24,
300167,2,343.98,623.38,
300167,3,558.45,1483.92,
300167,2,19.12,32.21,
300167,2,344.93,614.30,
300167,4,11.30,38.07,
300169,3,211.15,495.22,
300169,1,8.64,6.79,
300169,5,8.28,32.74,
300169,4,18.13,64.14,
300169,4,257.76,815.93,
300169,8,119.89,805.09,
300173,7,199.06,1290.62,
300173,2,195.57,349.70,
300173,5,262.08,1231.06,
300173,3,11.71,30.66,
300173,5,36.14,169.91,
300173,6,307.76,1632.23,
300175,3,18.67,49.12,
300175,6,16.45,82.91,
300175,3,248.88,637.27,
300175,5,77.64,329.78,
300175,4,85.33,281.46,
300176,3,139.92,344.11,
300176,6,462.57,2414.97,
300176,2,165.83,278.37,
300176,3,92.45,251.19,
300176,2,165.83,293.21,
300176,4,236.40,875.22,
300178,5,7.50,33.09,
300178,4,17.73,64.04,
300178,3,328.23,820.74,
300178,2,213.00,381.63,
300178,10,85.09,799.23,
300178,3,157.47,413.11,
300178,2,13.63,25.72,
300178,6,83.05,443.58,
300178,5,263.52,1221.58,
300178,3,24.43,69.82,
300178,5,122.13,537.82,
300178,3,65.03,171.03,
300178,2,11.40,20.37,
300178,5,17.10,78.28,
300181,3,165.26,417.80,
300181,4,19.75,68.96,
300181,3,180.05,465.54,
300181,1,330.44,296.07,
300182,3,13.38,31.45,
300182,2,241.68,387.81,
300182,4,138.60,433.77,
300182,3,522.75,1181.15,
300182,9,151.70,1038.72,
300182,4,7.94,25.66,
300182,4,89.66,278.92,
300182,1,193.52,152.73,
300182,2,8.75,13.45,
300182,5,8.70,33.38,
300182,4,54.96,162.67,
300182,4,17.69,56.50,
300182,4,7.90,22.62,
300182,6,338.94,1587.61,
300182,5,263.52,966.58,
300185,3,147.14,376.12,
300185,4,103.58,286.17,
300185,7,33.96,194.26,
300185,4,104.35,350.54,
300186,4,507.96,1553.83,
300186,3,31.42,69.46,
300186,4,29.87,88.95,
300186,6,484.50,1987.31,
300186,2,98.40,156.17,
300186,4,440.16,1341.49,
300187,6,17.69,83.17,
300187,5,8.34,34.18,
300190,6,48.74,231.64,
300190,4,241.20,688.58,
300190,4,124.96,408.20,
300190,5,326.34,1246.87,
300190,5,43.70,166.56,
300190,4,23.71,77.10,
300190,2,23.59,38.03,
300190,6,143.75,683.16,
300190,5,31.48,125.16,
300190,4,19.33,57.86,
300190,6,12.20,56.06,
300190,1,61.49,47.91,
300191,4,190.96,671.46,
300191,2,143.75,257.81,
300191,5,122.48,495.27,
300192,3,19.10,42.05,
300192,3,213.61,477.33,
300192,6,248.88,1191.67,
300192,5,17.39,67.52,
300192,5,16.33,64.36,
300195,5,443.10,1809.55,
300195,5,11.54,49.03,
300195,3,23.57,62.38,
300195,5,85.49,349.23,
300195,5,491.13,1984.50,
300195,5,111.86,487.32,
300196,3,95.33,249.07,
300196,4,12.30,43.49,
300196,3,135.56,345.27,
300196,2,64.48,107.99,
300196,4,406.14,1398.11,
300197,5,152.46,643.48,
300197,3,33.59,93.71,
300197,6,49.14,259.20,
300197,3,312.80,836.40,
300197,4,24.58,87.22,
300197,5,537.03,2489.41,
300198,4,11.25,39.00,
300198,2,25.58,43.93,
300198,1,122.37,113.17,
300198,3,71.75,187.83,
300198,6,558.96,2970.85,
300200,5,538.56,2428.93,
300200,7,84.94,447.88,
300200,4,29.80,101.66,
300200,2,64.17,105.46,
300200,5,429.66,1758.19,
300201,4,16.99,59.81,
300201,5,94.75,393.71,
300201,3,222.02,518.72,
300201,3,57.77,151.08,
300201,3,96.77,250.66,
300201,6,113.40,597.44,
300201,4,441.84,1548.42,
300201,4,42.66,150.46,
300201,2,518.67,896.28,
300201,5,200.49,834.32,
300201,5,181.63,797.51,
300202,3,135.56,315.84,
300202,2,186.55,294.02,
300202,5,308.07,1270.80,
300202,4,159.75,558.00,
300202,5,159.75,670.12,
300202,7,554.37,3230.53,
300202,5,17.15,73.59,
300202,4,19.78,69.98,
300202,1,40.73,36.51,
300205,2,531.42,881.88,
300205,2,165.79,245.32,
300205,2,194.34,302.00,
300205,3,25.90,59.44,
300205,4,19.55,61.66,
300205,4,80.62,241.18,
300205,6,117.06,554.07,
300208,4,34.65,101.92,
300208,3,301.14,659.55,
300208,1,343.67,281.32,
300208,7,19.75,108.74,
300208,5,78.81,319.09,
300208,3,42.66,106.07,
300208,4,129.80,417.63,
300208,5,112.22,441.91,
300208,2,13.49,20.22,
300208,3,11.60,26.88,
300212,3,253.68,642.12,
300212,3,128.50,307.04,
300212,2,24.34,36.41,
300212,2,44.24,66.27,
300212,1,317.52,262.43,
300212,5,81.09,307.02,
300212,5,32.74,129.67,
300212,5,168.78,741.65,
300215,3,389.34,1025.40,
300215,4,7.95,28.60,
300215,3,107.97,272.48,
300216,5,221.28,981.38,
300216,6,90.14,466.57,
300216,5,21.96,95.77,
300216,6,12.66,75.04,
300216,5,291.69,1405.52,
300219,6,554.37,2620.79,
300219,8,30.29,190.75,
300219,7,395.22,2302.51,
300219,5,105.12,427.53,
300219,7,396.48,2259.42,
300219,6,190.08,933.83,
300220,5,8.10,35.37,
300220,6,11.25,58.54,
300220,7,58.93,364.81,
300220,3,77.95,199.69,
300220,5,143.22,606.00,
300220,2,49.14,79.19,
300222,7,383.46,2032.03,
300222,4,36.17,100.75,
300222,2,79.36,119.18,
300222,5,313.74,1202.27,
300222,6,96.58,422.04,
300225,3,161.42,387.54,
300225,9,236.40,1625.71,
300225,4,412.44,1311.71,
300225,8,8.53,53.21,
300225,5,48.15,204.54,
300225,5,124.74,467.17,
300225,5,56.91,214.95,
300225,7,7.20,35.02,
300225,6,319.41,1392.44,
300226,4,151.85,422.13,
300226,2,13.18,19.42,
300226,3,81.64,190.52,
300226,3,23.74,54.93,
300226,7,21.84,108.64,
300226,5,33.43,133.03,
300226,5,11.39,40.28,
300226,7,13.64,66.13,
300226,10,127.79,980.01,
300226,4,18.50,56.92,
300227,3,148.05,418.95,
300227,2,135.83,236.83,
300227,6,12.56,61.41,
300227,4,11.91,42.99,
300227,4,23.93,79.38,
300227,2,121.19,213.38,
300227,5,8.04,35.08,
300229,4,406.14,1377.30,
300229,2,77.64,131.84,
300229,5,141.64,630.10,
300229,3,536.01,1401.62,
300229,8,162.98,1186.89,
300231,6,8.39,40.80,
300231,6,185.50,831.01,
300231,2,224.16,333.56,
300238,5,29.90,119.86,
300238,6,126.32,641.89,
300238,3,34.88,93.21,
300238,6,17.80,96.37,
300238,3,109.03,274.83,
300240,3,100.99,238.24,
300240,4,156.71,512.71,
300240,3,407.82,1002.30,
300240,4,19.39,58.60,
300240,7,104.93,583.67,
300240,2,309.65,488.26,
300241,6,25.42,120.58,
300241,5,55.02,219.84,
300241,3,8.26,21.87,
300241,4,8.23,27.92,
300241,3,35.54,86.09,
300241,4,33.63,109.02,
300241,8,500.31,3499.68,
300242,8,263.04,1747.91,
300242,2,83.76,142.62,
300242,1,74.81,67.25,
300242,6,141.21,734.00,
300242,6,7.90,40.18,
300246,3,136.95,345.03,
300246,1,72.46,64.05,
300246,2,155.80,257.80,
300246,2,96.19,159.47,
300246,6,70.89,353.42,
300246,3,410.76,965.55,
300246,2,33.73,55.99,
300246,9,546.72,4168.68,
300246,4,480.42,1581.80,
300251,3,104.83,284.05,
300251,1,96.96,81.19,
300251,3,23.45,64.97,
300251,3,30.76,74.02,
300251,4,119.20,442.98,
300251,4,7.74,27.78,
300253,4,243.36,800.38,
300253,3,223.25,542.02,
300253,4,488.07,1663.10,
300253,6,18.14,89.13,
300253,4,63.44,217.07,
300255,3,116.82,296.29,
300255,3,128.38,310.33,
300255,9,165.98,1144.57,
300255,4,57.28,186.11,
300255,2,139.38,227.64,
300255,2,96.58,153.54,
300256,2,8.02,12.98,
300256,3,425.04,993.12,
300256,3,61.49,159.04,
300256,7,102.43,605.96,
300256,3,17.33,42.47,
300256,2,232.32,383.15,
300256,4,223.66,740.47,
300256,4,77.01,263.73,
300256,6,86.50,430.95,
300256,2,218.12,384.99,
300257,6,229.68,1221.90,
300257,1,88.80,76.50,
300257,5,72.61,293.82,
300257,2,124.74,214.03,
300257,8,24.34,174.50,
300257,2,217.51,364.90,
300259,2,192.50,280.43,
300259,6,511.53,2321.71,
300259,2,72.85,119.00,
300259,3,8.56,20.12,
300259,4,43.83,128.87,
300259,3,121.78,295.93,
300259,2,122.10,191.04,
300259,4,17.48,54.11,
300259,5,41.99,163.69,
300262,4,89.95,300.82,
300262,4,116.23,412.64,
300262,5,43.20,186.66,
300264,6,408.66,2015.70,
300264,4,378.42,1133.96,
300265,2,305.55,491.97,
300265,7,313.74,1935.36,
300266,3,7.88,20.77,
300266,5,156.71,707.03,
300266,3,63.99,162.61,
300266,4,100.51,345.98,
300266,6,392.28,1967.49,
300266,4,19.03,63.13,
300266,5,43.20,190.42,
300266,5,17.93,71.67,
300271,3,158.54,420.32,
300271,7,44.96,278.62,
300271,5,179.52,784.57,
300271,4,71.28,258.56,
300271,4,134.90,489.04,
300271,3,13.24,34.25,
300271,4,216.96,805.50,
300271,4,339.57,1119.12,
300271,2,19.62,34.66,
300271,3,203.36,498.33,
300272,5,194.14,909.31,
300272,3,133.85,361.35,
300272,3,17.28,48.85,
300272,2,124.25,221.89,
300272,7,58.32,389.56,
300272,5,16.45,77.88,
300273,3,229.20,602.72,
300273,5,124.61,545.98,
300273,2,130.68,237.67,
300273,7,456.96,2914.23,
300273,3,190.24,553.23,
300273,8,13.61,95.93,
300277,4,59.17,174.95,
300277,5,323.19,1339.57,
300277,6,23.02,108.18,
300277,2,128.97,209.43,
300279,5,12.15,49.34,
300279,5,239.04,927.29,
300279,6,17.48,88.50,
300279,5,285.39,1175.04,
300279,6,18.88,90.56,
300279,5,206.85,886.49,
300279,3,262.56,633.19,
300279,6,85.80,433.62,
300279,3,191.66,488.36,
300279,5,73.79,312.42,
300279,3,42.93,107.25,
300279,3,101.95,252.23,
300279,5,237.12,952.22,
300279,6,142.73,740.88,
300279,2,13.15,20.85,
300280,6,34.88,191.61,
300280,5,41.72,187.82,
300280,2,287.91,542.57,
300280,4,199.06,765.78,
300280,3,57.46,152.33,
300280,4,311.85,1096.28,
300280,2,34.88,61.65,
300280,3,21.79,65.08,
300280,4,115.29,435.79,
300280,4,8.42,30.48,
300281,5,192.90,707.84,
300281,4,150.63,480.99,
300281,6,196.80,899.84,
300281,4,462.57,1326.24,
300281,3,24.72,61.72,
300283,8,129.76,1025.19,
300283,5,32.18,142.69,
300283,4,439.74,1594.17,
300283,2,125.91,230.88,
300283,4,215.25,824.92,
300283,3,124.74,333.73,
300283,6,410.34,2194.99,
300284,4,161.58,535.25,
300284,5,71.51,279.59,
300284,4,24.46,78.72,
300284,6,114.81,503.76,
300284,5,34.68,128.93,
300284,5,64.66,233.66,
300284,4,225.09,752.61,
300284,2,33.69,49.05,
300284,3,230.16,557.43,
