id,name,class,governorate,area,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4
1053,Mira Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-20,0,4803
1054,Silver Care Pharmacy - Obour,,Alexandria,Smouha,10,23,1,2025-08-13,0,4143
1055,Al Amal Pharmacy,,Alexandria,Smouha,8,23,1,2025-02-04,0,9645
1056,Alpha Pharma,,,,9,1,1,2024-09-04,1,3071
1057,Silver Care Pharmacy,,,,9,1,1,2025-06-30,0,1178
1058,City Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-03-04,0,3156
1059,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-02,1,1150
1060,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-03-29,0,8929
1061,Green Leaf Pharmacy,,Alexandria,Smouha,9,23,1,2025-05-12,0,7054
1062,El Zahraa Pharmacy - Smouha,,,,9,1,1,2024-10-29,0,2375
1063,Green Leaf Pharmacy,,,,9,23,1,2025-05-09,0,1076
1064,Alpha Pharma - Smouha,,Alexandria,Smouha,8,23,1,2024-11-07,0,6822
1065,El Hokama Pharmacy - Haram,,Alexandria,Smouha,9,23,1,2025-04-27,0,1649
1066,Sunrise Pharmacy - Nozha,,,,9,23,1,2025-04-06,2,9264
1067,Salamtek Pharmacy,,,,8,1,1,2025-01-24,0,4944
1068,Better Life Pharmacy,,,,10,23,1,2025-04-12,0,3178
1069,Ebn Sina Pharmacy - Rehab View,,,,9,23,1,2025-02-08,1,9970
1070,Star Care Pharmacy - Square,,,,10,23,1,2025-06-30,1,2603
1071,Better Life Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-01-20,0,3972
1072,Nile Care Pharmacy - Helwan,,,,9,23,1,2025-08-02,1,6258
1073,Hope Pharmacy - Obour,,Alexandria,Smouha,10,1,1,2025-03-08,0,9989
1074,Golden Care Pharmacy,,,,8,1,1,2024-11-03,0,8757
1075,Angel Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-09-07,0,4754
1076,Salamtek Pharmacy,,,,10,23,1,2024-11-01,0,8521
1077,Golden Care Pharmacy - Haram,,,,9,23,1,2025-03-10,0,1538
1078,Salamtek Pharmacy - Imbaba,,Alexandria,Smouha,9,23,1,2025-08-22,0,1228
1079,Blue Wave Pharmacy - Rehab View,,,,9,23,1,2024-09-13,0,5043
1080,Nile Care Pharmacy,,Alexandria,Smouha,9,2,1,2024-10-19,1,2146
1081,Dr Medhat Pharmacy,,,,9,23,1,2025-09-01,0,1242
1082,El Shifa Pharmacy - Zayed,,Alexandria,Smouha,9,1,1,2025-05-06,1,4916
1083,Union Pharm - Smouha,,Alexandria,Smouha,9,23,1,2025-02-26,0,3116
1084,Care 24 Seven,,,,8,23,1,2024-10-08,0,3180
1085,El Tourath Pharmacy,,,,9,23,1,2025-08-31,0,2430
1086,El Shifa Pharmacy,,,,9,1,1,2025-02-14,0,2114
1087,Elite Pharmacy - Smouha,,,,9,23,1,2025-03-08,0,8578
1088,Alpha Pharma,,Alexandria,Smouha,9,1,1,2025-06-28,0,4216
1089,City Care Pharmacy - Square,,Alexandria,Smouha,9,23,1,2025-01-27,0,6551
1090,El Faraby Pharmacy,,,,10,2,1,2025-06-02,0,6618
1091,Metro Pharmacy - Smouha,,,,8,1,1,2025-01-16,0,4145
1092,Al Amal Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-28,0,6023
1093,Silver Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2024-09-21,0,6713
1094,El Shifa Pharmacy,,,,8,23,1,2025-09-03,0,4574
1095,Care 24 Seven - Helwan,,Alexandria,Smouha,9,23,1,2025-08-28,1,5617
1096,Nile Care Pharmacy,,,,8,23,1,2025-08-06,1,5009
1097,Health Gate Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-05,1,5301
1098,Alpha Pharma - Smouha,,,,9,1,1,2025-06-14,0,1623
1099,Family Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2024-11-20,0,6967
1100,Pharma Plus - Smouha,,Alexandria,Smouha,10,23,1,2024-12-05,0,7961
1101,Sunrise Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-04-01,0,8960
1102,Silver Care Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2024-12-18,0,2296
1103,Union Pharm - Maadi,,Alexandria,Smouha,9,1,1,2025-05-07,0,9857
1104,Better Life Pharmacy,,,,9,2,1,2025-03-03,0,6595
1105,Blue Wave Pharmacy,,,,8,23,1,2025-02-09,0,6202
1106,Care 24 Seven,,,,9,1,1,2024-11-28,0,8696
1107,El Zahraa Pharmacy,,,,8,23,1,2025-08-21,0,7600
1108,Dr Medhat Pharmacy - Montaza,,Alexandria,Smouha,9,23,1,2025-07-02,0,3589
1109,El Shifa Pharmacy,,,,9,23,1,2025-05-11,0,7957
1110,Salamtek Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-16,0,3232
1111,Life Line Pharmacy - Smouha,,,,10,23,1,2025-01-21,0,4110
1112,Al Amal Pharmacy,,,,10,1,1,2025-01-30,0,1388
1113,Blue Wave Pharmacy - Montaza,,Alexandria,Smouha,9,1,1,2024-12-28,0,7065
1114,Care 24 Seven - Dokki,,Alexandria,Smouha,8,23,1,2025-08-11,0,7305
1115,Mira Pharmacy,,Alexandria,Smouha,8,23,1,2025-03-29,0,5091
1116,El Shifa Pharmacy - Dokki,,Alexandria,Smouha,8,1,1,2024-09-27,0,6216
1117,Life Line Pharmacy - Smouha,,,,8,23,1,2024-11-11,0,9798
1118,El Zahraa Pharmacy - Imbaba,,,,9,23,1,2024-11-09,0,8860
1119,Life Line Pharmacy - Smouha,,,,9,23,1,2024-11-24,0,8662
1120,Union Pharm - Rehab View,,Alexandria,Smouha,9,1,1,2025-04-03,0,6375
1121,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-17,0,2857
1122,Life Line Pharmacy - Rehab View,,Alexandria,Smouha,9,23,1,2025-03-21,2,3235
1123,Alpha Pharma - Square,,Alexandria,Smouha,10,2,1,2025-08-08,0,9991
1124,El Shifa Pharmacy - Square,,,,9,23,1,2025-05-27,0,6000
1125,El Faraby Pharmacy - Smouha,,,,8,23,1,2025-03-01,1,7158
1126,Metro Pharmacy - Smouha,,,,8,2,1,2024-12-06,0,4379
1127,El Tourath Pharmacy,,,,10,2,1,2025-08-25,0,8296
1128,Al Nozha Pharmacy - Helwan,,,,9,23,1,2024-11-25,0,8471
1129,Pharma Plus,,Alexandria,Smouha,8,1,1,2024-11-22,1,7818
1130,El Baraka Pharmacy - Smouha,,,,9,1,1,2025-07-19,0,2774
1131,Al Amal Pharmacy,,,,10,1,1,2024-12-27,0,3667
1132,Star Care Pharmacy,,,,9,2,1,2025-02-23,0,7798
1133,Health Gate Pharmacy - Smouha,,,,9,2,1,2025-02-02,0,5278
1134,Mira Pharmacy,,,,8,23,1,2025-07-18,0,9636
1135,Family Pharmacy,,Alexandria,Smouha,8,23,1,2024-09-27,0,7943
1136,Al Nozha Pharmacy,,,,9,23,1,2025-06-27,0,1021
1137,Ebn Sina Pharmacy - Faisal,,,,9,23,1,2024-12-21,0,6457
1138,Health Gate Pharmacy,,Alexandria,Smouha,8,23,1,2024-11-04,0,5940
1139,Omega Pharmacy - Square,,Alexandria,Smouha,8,23,1,2025-07-14,0,4232
1140,Better Life Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-04-30,0,4625
1141,Sunrise Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2024-11-27,0,4353
1142,Blue Wave Pharmacy,,Alexandria,Smouha,9,2,1,2025-04-25,0,5048
1143,Misr Pharmacy - Montaza,,,,8,23,1,2024-10-20,0,7999
1144,Blue Wave Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-10-31,1,4636
1145,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-04-21,0,7094
1146,El Zahraa Pharmacy - Smouha,,,,9,2,1,2025-02-11,0,6984
1147,Seha First Pharmacy - Smouha,,,,9,23,1,2025-05-02,0,8881
1148,El Baraka Pharmacy - Helwan,,,,8,1,1,2025-06-13,0,1516
1149,Better Life Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-05-31,0,9173
1150,Star Care Pharmacy,,Alexandria,Smouha,9,1,1,2025-08-09,0,9676
1151,El Baraka Pharmacy - Helwan,,,,8,1,1,2025-03-14,0,5496
1152,Ebn Sina Pharmacy - Smouha,,,,9,1,1,2024-12-29,0,4237
1153,Mira Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-04-25,0,1114
1154,Pharma Plus - Smouha,,Alexandria,Smouha,9,1,1,2025-03-26,0,2132
1155,Pharma Plus,,Alexandria,Smouha,9,23,1,2024-09-04,0,3120
1156,Better Life Pharmacy,,,,9,1,1,2024-09-18,1,5345
1157,Union Pharm,,,,9,23,1,2025-03-27,0,9678
1158,El Shifa Pharmacy - Zayed,,,,10,2,1,2024-09-20,0,8188
1159,El Hokama Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-26,0,2797
1160,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-07-18,0,1899
1161,El Tourath Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-06-19,0,9261
1162,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2024-12-02,0,1374
1163,Care 24 Seven,,Alexandria,Smouha,9,23,1,2025-08-29,0,9094
1164,Omega Pharmacy,,,,9,23,1,2024-11-21,0,7617
1165,Family Pharmacy,,,,10,23,1,2025-02-24,2,1052
1166,Pharma Plus - Helwan,,Alexandria,Smouha,9,23,1,2024-10-02,2,1309
1167,Misr Pharmacy - Faisal,,,,9,23,1,2025-01-14,0,9890
1168,Blue Wave Pharmacy,,Alexandria,Smouha,9,23,1,2025-03-20,0,4584
1169,El Shifa Pharmacy - Montaza,,Alexandria,Smouha,10,23,1,2024-12-14,0,1421
1170,Al Amal Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-31,2,4889
1171,Life Line Pharmacy - Agami,,,,8,23,1,2025-01-21,2,7782
1172,Metro Pharmacy,,,,10,23,1,2025-08-13,1,4871
1173,Blue Wave Pharmacy - Maadi,,Alexandria,Smouha,9,23,1,2024-09-15,0,9969
1174,Golden Care Pharmacy - Banha,,,,9,23,1,2024-09-28,0,1947
1175,Star Care Pharmacy - Smouha,,,,9,1,1,2025-08-17,0,3690
1176,City Care Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-06-18,1,2895
1177,Metro Pharmacy,,,,9,2,1,2025-05-03,0,9674
1178,El Nasr Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2025-07-27,1,5649
1179,Alpha Pharma,,Alexandria,Smouha,8,1,1,2025-07-07,0,2052
1180,Life Line Pharmacy,,,,9,1,1,2024-12-07,0,2950
1181,Health Gate Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-21,0,6125
1182,Blue Wave Pharmacy,,Alexandria,Smouha,9,1,1,2025-07-28,0,4653
1183,Mira Pharmacy - Marg,,,,8,23,1,2024-11-28,0,8998
1184,Golden Care Pharmacy - Shubra,,,,9,23,1,2025-03-19,1,1570
1185,Mira Pharmacy - Dokki,,,,8,23,1,2025-09-07,0,2014
1186,Star Care Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-14,1,1590
1187,Pharma Plus - Nozha,,Alexandria,Smouha,10,23,1,2024-11-30,0,8578
1188,El Baraka Pharmacy,,Alexandria,Smouha,8,23,1,2025-04-21,0,4441
1189,Mira Pharmacy - Smouha,,,,9,23,1,2024-09-01,0,5138
1190,El Shifa Pharmacy,,,,10,1,1,2025-03-13,0,8657
1191,Silver Care Pharmacy,,Alexandria,Smouha,8,23,1,2024-12-16,0,6915
1192,Golden Care Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-02-13,0,5603
1193,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-10-12,2,8760
1194,Misr Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2025-08-19,0,5954
1195,Misr Pharmacy,,,,9,23,1,2025-04-20,0,3560
1196,El Zahraa Pharmacy - Agami,,,,8,23,1,2025-01-20,0,4915
1197,Al Amal Pharmacy - Obour,,Alexandria,Smouha,9,1,1,2025-06-19,0,2637
1198,Green Leaf Pharmacy - Smouha,,,,10,23,1,2025-08-01,0,4279
1199,El Tourath Pharmacy,,,,8,23,1,2024-09-17,0,6079
1200,Family Pharmacy,,Alexandria,Smouha,9,1,1,2024-09-09,0,7902
1201,Salamtek Pharmacy,,,,9,23,1,2025-04-23,0,4436
1202,Alpha Pharma,,Alexandria,Smouha,9,23,1,2025-08-05,0,8212
1203,El Hokama Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2024-09-02,0,8596
1204,Dr Medhat Pharmacy - Faisal,,,,9,1,1,2025-02-14,0,1406
1205,Union Pharm,,,,10,1,1,2025-07-01,0,9660
1206,El Faraby Pharmacy - Smouha,,,,9,23,1,2024-09-03,0,2661
1207,Ebn Sina Pharmacy - Smouha,,Alexandria,Smouha,9,2,1,2025-06-02,0,7174
1208,Elite Pharmacy,,Alexandria,Smouha,8,1,1,2024-12-26,0,3306
1209,Misr Pharmacy,,,,9,23,1,2024-10-13,0,2097
1210,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,1,1,2025-08-26,0,9536
1211,Golden Care Pharmacy,,,,9,23,1,2025-01-02,0,5605
1212,Al Amal Pharmacy - Shubra,,,,9,23,1,2025-01-22,0,8914
1213,Nile Care Pharmacy - Smouha,,,,9,23,1,2024-12-20,0,9990
1214,Star Care Pharmacy - Maadi,,,,10,23,1,2025-06-17,0,3737
1215,Union Pharm - Smouha,,Alexandria,Smouha,9,1,1,2025-08-12,0,4876
1216,Hope Pharmacy,,Alexandria,Smouha,8,23,1,2024-11-12,0,7242
1217,Al Nozha Pharmacy,,Alexandria,Smouha,9,23,1,2025-06-06,0,6838
1218,Green Leaf Pharmacy - Shubra,,,,9,23,1,2025-04-03,0,2336
1219,Union Pharm - Imbaba,,Alexandria,Smouha,9,1,1,2025-05-19,0,2883
1220,El Baraka Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-08-06,0,4255
1221,Misr Pharmacy,,Alexandria,Smouha,9,23,1,2025-07-10,0,8864
1222,Metro Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-29,0,9249
1223,El Faraby Pharmacy - Obour,,Alexandria,Smouha,9,23,1,2025-02-19,1,9628
1224,Silver Care Pharmacy,,,,9,2,1,2025-06-14,0,6518
1225,Dr Medhat Pharmacy - Smouha,,,,9,23,1,2025-06-23,0,4079
1226,Green Leaf Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-27,0,8981
1227,Union Pharm - Faisal,,Alexandria,Smouha,8,23,1,2024-10-19,0,7084
1228,Ebn Sina Pharmacy,,,,8,23,1,2025-06-20,0,3932
1229,Misr Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-05-25,1,4770
1230,El Baraka Pharmacy,,,,9,1,1,2024-11-21,0,9096
1231,Seha First Pharmacy - Smouha,,,,10,23,1,2025-09-13,0,8631
1232,Hope Pharmacy,,Alexandria,Smouha,9,23,1,2025-01-24,0,4593
1233,Angel Pharmacy,,Alexandria,Smouha,9,1,1,2024-12-15,1,3594
1234,Silver Care Pharmacy,,,,10,23,1,2025-08-23,1,3825
1235,Salamtek Pharmacy - Smouha,,,,10,23,1,2025-04-19,0,8192
1236,Dr Medhat Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-05,0,7832
1237,Health Gate Pharmacy - Square,,Alexandria,Smouha,9,23,1,2025-03-08,0,6440
1238,El Zahraa Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-16,0,6530
1239,El Baraka Pharmacy,,Alexandria,Smouha,9,2,1,2025-04-13,0,9034
1240,Seha First Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-31,1,3535
1241,Alpha Pharma - Helwan,,Alexandria,Smouha,9,2,1,2025-02-13,0,3844
1242,Al Amal Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2025-04-26,0,2820
1243,Green Leaf Pharmacy,,,,8,23,1,2025-01-13,0,2867
1244,Dr Medhat Pharmacy - Smouha,,,,9,1,1,2025-01-27,1,4661
1245,Better Life Pharmacy - Smouha,,,,9,23,1,2025-02-03,2,4048
1246,Golden Care Pharmacy - Zayed,,Alexandria,Smouha,9,23,1,2025-03-31,0,1687
1247,Union Pharm - Oct City,,,,8,1,1,2025-07-06,0,2608
1248,El Faraby Pharmacy,,Alexandria,Smouha,9,23,1,2024-10-03,0,4717
1249,Metro Pharmacy - Smouha,,Alexandria,Smouha,8,23,1,2024-12-01,0,2958
1250,El Nasr Pharmacy - Oct City,,Alexandria,Smouha,9,23,1,2024-12-27,0,9970
1251,Elite Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-24,0,7064
1252,Salamtek Pharmacy,,,,8,23,1,2025-04-08,0,3094
1253,Misr Pharmacy,,Alexandria,Smouha,8,23,1,2024-10-09,0,7487
1254,Sunrise Pharmacy - Smouha,,Alexandria,Smouha,10,23,1,2024-09-02,0,3679
1255,Al Nozha Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2025-08-07,1,3223
1256,Angel Pharmacy,,,,8,23,1,2024-10-01,0,4430
1257,El Baraka Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2025-05-26,0,3168
1258,El Hokama Pharmacy,,,,9,2,1,2025-07-11,0,7235
1259,Ebn Sina Pharmacy - Smouha,,,,10,23,1,2024-12-08,0,1138
1260,Alpha Pharma - Smouha,,,,10,2,1,2025-06-20,0,1408
1261,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-30,0,4168
1262,Elite Pharmacy - Agami,,Alexandria,Smouha,10,23,1,2024-10-09,0,7911
1263,Misr Pharmacy - Smouha,,,,10,23,1,2025-09-08,0,1117
1264,El Hokama Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2025-05-25,0,3419
1265,Health Gate Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-01-29,0,7610
1266,Nile Care Pharmacy,,Alexandria,Smouha,9,23,1,2024-11-08,0,4699
1267,Metro Pharmacy,,,,9,23,1,2024-11-30,0,3116
1268,Silver Care Pharmacy - Zayed,,,,9,1,1,2025-06-16,0,6732
1269,Life Line Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-07,0,2594
1270,Dr Medhat Pharmacy,,,,8,23,1,2025-01-15,0,9026
1271,El Hokama Pharmacy,,Alexandria,Smouha,10,23,1,2024-12-28,0,6947
1272,Sunrise Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-27,0,5964
1273,Green Leaf Pharmacy,,,,9,23,1,2025-09-03,0,3397
1274,Green Leaf Pharmacy,,Alexandria,Smouha,8,23,1,2025-01-09,0,6701
1275,El Baraka Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-27,0,3959
1276,City Care Pharmacy,,,,9,23,1,2025-07-04,0,5172
1277,Sunrise Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-19,0,6746
1278,Hope Pharmacy - Smouha,,,,10,23,1,2024-11-15,0,5956
1279,El Shifa Pharmacy,,Alexandria,Smouha,8,2,1,2025-03-07,0,9536
1280,Care 24 Seven - Marg,,Alexandria,Smouha,9,23,1,2025-07-10,0,3123
1281,Blue Wave Pharmacy - Smouha,,,,10,1,1,2025-03-08,0,2379
1282,Family Pharmacy - Montaza,,Alexandria,Smouha,9,1,1,2025-07-26,0,8955
1283,Pharma Plus - Oct City,,,,9,23,1,2025-05-22,1,1368
1284,El Faraby Pharmacy - Faisal,,Alexandria,Smouha,8,23,1,2025-08-01,0,1047
1285,Dr Medhat Pharmacy,,Alexandria,Smouha,9,1,1,2025-04-08,0,7044
1286,El Hokama Pharmacy - Obour,,Alexandria,Smouha,10,23,1,2025-03-02,0,7737
1287,Mira Pharmacy - Marg,,Alexandria,Smouha,10,23,1,2024-10-08,0,4322
1288,Nile Care Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2024-10-13,0,6488
1289,Salamtek Pharmacy - Helwan,,,,8,23,1,2025-02-01,1,3992
1290,Blue Wave Pharmacy - Oct City,,Alexandria,Smouha,9,1,1,2025-02-13,0,3264
1291,El Hokama Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-31,2,9614
1292,El Baraka Pharmacy - Imbaba,,Alexandria,Smouha,8,1,1,2024-10-11,2,8010
1293,Metro Pharmacy,,,,9,23,1,2025-04-11,0,5156
1294,Sunrise Pharmacy - Banha,,Alexandria,Smouha,9,23,1,2025-07-18,0,4914
1295,Metro Pharmacy - Zayed,,Alexandria,Smouha,9,23,1,2024-12-21,0,6476
1296,Metro Pharmacy - Montaza,,,,8,1,1,2024-11-30,0,6123
1297,Mira Pharmacy,,Alexandria,Smouha,9,23,1,2025-02-25,0,4348
1298,Care 24 Seven,,Alexandria,Smouha,9,23,1,2025-08-19,2,1604
1299,Star Care Pharmacy - Dokki,,Alexandria,Smouha,9,23,1,2025-08-23,0,8667
1300,Health Gate Pharmacy - Shubra,,Alexandria,Smouha,9,23,1,2024-09-06,0,9213
1301,Ebn Sina Pharmacy - Marg,,Alexandria,Smouha,8,23,1,2024-09-11,0,6938
1302,Misr Pharmacy - Faisal,,Alexandria,Smouha,9,23,1,2025-04-18,0,9135
1303,El Faraby Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-07-03,0,5137
1304,Elite Pharmacy - Agami,,,,9,23,1,2024-12-22,0,4353
1305,Al Amal Pharmacy - Maadi,,,,9,23,1,2024-10-09,0,1514
1306,Metro Pharmacy - Smouha,,,,9,23,1,2025-06-27,0,3623
1307,Al Amal Pharmacy - Imbaba,,Alexandria,Smouha,9,23,1,2025-02-09,0,5146
1308,Dr Medhat Pharmacy - Smouha,,Alexandria,Smouha,9,23,1,2025-06-26,1,8240
1309,Golden Care Pharmacy,,Alexandria,Smouha,9,23,1,2025-08-07,0,1425
1310,City Care Pharmacy - Imbaba,,,,8,23,1,2025-08-04,0,2371
1311,El Nasr Pharmacy,,,,9,23,1,2025-06-11,0,2776
1312,Nile Care Pharmacy - Montaza,,Alexandria,Smouha,9,23,1,2025-01-07,0,6963
1313,Seha First Pharmacy,,,,8,23,1,2025-02-16,0,9972
1314,Mira Pharmacy - Smouha,,Alexandria,Smouha,8,1,1,2024-12-05,2,2087
1315,Health Gate Pharmacy,,Alexandria,Smouha,10,23,1,2025-03-28,0,2467
1316,Omega Pharmacy - Smouha,,,,9,23,1,2024-09-25,0,3374
1317,Alpha Pharma - Smouha,,,,8,1,1,2025-08-18,0,6975
1318,Alpha Pharma - Dokki,,Alexandria,Smouha,9,23,1,2025-04-05,0,5221
1319,Al Nozha Pharmacy,,Alexandria,Smouha,9,1,1,2025-03-27,0,5309
1320,Misr Pharmacy - Helwan,,Alexandria,Smouha,9,23,1,2024-09-01,0,9967
1321,Health Gate Pharmacy,,,,9,23,1,2025-03-20,0,2071
