invoice_id,customer_id,placed_at_utc,delivery_slot,grand_total,paid_total,declared_items,campaign_ref,order_status
300630,1959,2024-11-16T06:42:20Z,,1222.62,,6,WINTER-FLYER,canceled
300636,1991,2024-11-18T10:16:45Z,,4418.75,,6,LUX-R6,pending_hold
300639,1991,2024-11-27T10:04:18Z,,3019.55,3019.55,7,NONE,pending_hold
300644,2016,2024-11-09T08:59:13Z,,4292.02,4292.02,7,NONE,shipped
300651,2025,2024-11-09T10:46:00Z,,8085.87,,11,WINTER-FLYER,paid
300658,2054,2024-11-28T06:42:15Z,,3381.67,3381.67,4,NONE,paid
300663,2078,2024-11-08T06:47:37Z,,426.8,,2,RAMADAN-BUNDLE,shipped
300668,2091,2024-11-05T08:48:19Z,,11718.39,,10,NONE,paid
300670,2091,2024/11/13 10:18,,4831.09,,10,NONE,paid
300676,2117,2024-11-12T14:13:11Z,,2982.59,2982.59,7,NONE,paid
300682,2132,2024-11-19T13:46:18Z,,1220.33,,5,WINTER-FLYER,paid
300686,2134,2024/11/18 09:45,,3418.61,3418.61,12,WINTER-FLYER,shipped
300688,2157,2024-11-07T14:39:49Z,,1558.94,1558.94,4,LUX-R6,shipped
300689,2160,2024-11-04T10:09:38Z,,7005.32,,10,WINTER-FLYER,paid
300690,2173,2024-11-07T11:35:49Z,,4550.34,4550.34,8,LUX-R6,canceled
300691,2175,2024-11-10T06:09:00Z,,5269.14,,7,RAMADAN-BUNDLE,paid
300697,2206,2024-11-04T10:19:40Z,,4784.27,4784.27,14,RAMADAN-BUNDLE,pending_hold
300699,2219,2024-11-13T06:04:31Z,,1372.33,,2,LUX-R6,shipped
300702,2231,2024/11/06 15:57,,3771.85,3771.85,7,NONE,pending_hold
300708,2240,2024-11-13T11:20:37Z,,2930.98,,4,RAMADAN-BUNDLE,canceled
300710,2259,2024-11-25T09:45:05Z,,4329.96,4329.96,10,WINTER-FLYER,pending_hold
300715,2264,2024-11-16T13:59:59Z,,1442.78,1442.78,2,WINTER-FLYER,shipped
300720,2292,2024-11-06T08:27:05Z,,3174.92,,6,LUX-R6,paid
300724,2301,2024-11-02T15:53:45Z,,3170.03,3170.03,4,WINTER-FLYER,pending_hold
300725,2326,2024-11-13T10:08:53Z,,5877.8,5877.80,8,NONE,pending_hold
300726,2330,2024-11-16T13:45:11Z,,1648.55,,5,LUX-R6,shipped
300733,2359,2024-11-05T06:00:47Z,,3222.67,,6,LUX-R6,paid
300736,2371,2024-11-21T13:51:58Z,,1520.76,,5,NONE,paid
300739,2381,2024-11-09T12:47:41Z,,1193.18,,5,NONE,shipped
300740,2383,2024-11-24T09:52:21Z,,3576.36,,8,WINTER-FLYER,shipped
300741,2383,2024-11-22T11:51:03Z,,4444.62,4444.62,9,LUX-R6,canceled
300746,2419,2024-11-27T11:45:56Z,,2359.38,,8,NONE,canceled
300750,2462,2024-11-11T12:12:40Z,,3772.79,3772.79,8,RAMADAN-BUNDLE,shipped
300752,2472,2024-11-01T11:24:28Z,,2308.64,,5,,paid
300754,2480,2024-11-08T13:10:53Z,,4754.58,4754.58,8,WINTER-FLYER,paid
300758,2521,2024-11-26T06:13:59Z,,4460.2,4460.20,9,,paid
300762,2535,2024-11-21T13:38:15Z,,3410.41,,2,NONE,paid
300765,2539,2024-11-08T08:32:26Z,,12914.22,12914.22,15,RAMADAN-BUNDLE,pending_hold
300773,2560,2024-11-04T11:40:14Z,,1550.16,1550.16,4,NONE,shipped
300774,2560,2024-11-01T08:22:29Z,,542.46,,2,RAMADAN-BUNDLE,shipped
300782,2583,2024-11-04T11:03:37Z,,4559.87,,4,LUX-R6,pending_hold
300784,2586,2024-11-09T06:59:27Z,,3725.31,3725.31,9,,paid
300788,2604,2024-11-25T11:58:48Z,,3426.07,,10,LUX-R6,canceled
300790,2604,2024-11-24T07:02:20Z,,2003.41,,5,NONE,paid
300792,2608,2024-11-19T09:05:55Z,,9561.02,9561.02,11,WINTER-FLYER,paid
300795,2639,2024-11-08T08:36:47Z,,3161.87,3161.87,8,RAMADAN-BUNDLE,pending_hold
300797,2655,2024-11-25T10:28:29Z,,2194.92,2194.92,6,,paid
300801,2657,2024-11-01T09:58:14Z,,551.25,551.25,3,NONE,paid
300803,2661,2024-11-07T09:42:28Z,,4339.37,,9,NONE,pending_hold
300804,2673,2024-11-02T10:49:08Z,,1455.11,,4,LUX-R6,shipped
300805,2673,2024-11-21T12:41:54Z,,2217.05,,2,NONE,paid
300809,2707,2024-11-13T10:51:21Z,,1311.92,1311.92,3,,shipped
300812,2723,2024-11-15T07:35:07Z,,3513.75,,8,,pending_hold
300814,2726,2024-11-28T07:23:41Z,,3120.51,3120.51,9,WINTER-FLYER,paid
300818,2739,2024-11-24T06:39:04Z,,3432.62,3432.62,9,LUX-R6,pending_hold
300820,2741,2024-11-17T10:28:42Z,,1722.8,,7,RAMADAN-BUNDLE,pending_hold
300821,2757,2024-11-07T12:29:45Z,,382.34,,2,NONE,shipped
300822,2758,2024/11/01 08:28,,4862.76,,5,NONE,paid
300823,2760,2024-11-12T11:43:22Z,,2172.84,,5,WINTER-FLYER,paid
300824,2760,2024-11-15T12:05:10Z,,1594.04,1594.04,6,LUX-R6,shipped
300827,2772,2024-11-03T06:05:58Z,,2377.62,,6,LUX-R6,paid
300828,2772,2024-11-11T12:43:01Z,,4797.85,4797.85,3,,shipped
300829,2772,2024-11-02T13:18:48Z,,1601.85,1601.85,8,WINTER-FLYER,paid
300830,2780,2024-11-07T17:12:23Z,,4212.05,4212.05,8,LUX-R6,paid
300832,2786,2024-11-24T07:36:49Z,,3097.87,,4,NONE,canceled
300834,2792,2024-11-25T14:52:00Z,,4309.08,,4,NONE,shipped
300836,1002,2024-12-01T06:52:55Z,,2319.27,,4,,paid
300837,1002,2024/12/27 11:50,,3283.92,,8,RAMADAN-BUNDLE,canceled
300838,1003,2024-12-24T09:28:58Z,,4004.56,,7,,paid
300839,1011,2024/12/09 17:54,,5623.04,5623.04,7,WINTER-FLYER,pending_hold
300849,1039,2024-12-08T10:17:10Z,,3021.87,,6,NONE,paid
300854,1048,2024-12-20T11:28:51Z,,4453.85,,7,,paid
300856,1049,2024-12-08T12:38:04Z,,2961.23,2961.23,8,,paid
300859,1049,2024-12-18T10:50:55Z,,4707.67,4707.67,5,WINTER-FLYER,paid
300865,1076,2024-12-20T10:26:55Z,,1520.3,,6,WINTER-FLYER,pending_hold
300869,1084,2024-12-20T11:56:50Z,,4593.04,4593.04,8,NONE,pending_hold
300872,1099,2024-12-15T15:46:31Z,,7314.71,,8,RAMADAN-BUNDLE,canceled
300881,1116,2024-12-02T12:03:45Z,,2831.64,2831.64,12,RAMADAN-BUNDLE,paid
300882,1116,2024-12-21T08:39:10Z,,2246.01,,7,,canceled
300896,1137,2024-12-27T10:16:55Z,,3094.09,,7,,shipped
300897,1137,2024-12-18T13:34:27Z,,2346.44,2346.44,6,,pending_hold
300910,1162,2024-12-20T11:39:22Z,,2544.5,2544.50,8,,paid
300911,1164,2024-12-12T12:28:51Z,,4100.07,4100.07,7,RAMADAN-BUNDLE,paid
300912,1164,2024-12-08T10:19:42Z,,1435.87,1435.87,4,NONE,paid
300922,1183,2024-12-25T06:25:08Z,,5011.26,,12,LUX-R6,paid
300925,1189,2024-12-11T12:14:25Z,,2435.18,2435.18,5,,canceled
300939,1233,2024-12-16T09:22:15Z,,1142.53,,3,NONE,paid
300942,1250,2024-12-23T17:11:26Z,,7326.4,,12,LUX-R6,paid
300943,1250,2024-12-07T15:56:21Z,,4557.01,4557.01,4,,shipped
300948,1262,2024/12/06 10:40,,4264.44,,6,RAMADAN-BUNDLE,canceled
300949,1266,2024-12-16T08:38:32Z,,3099.48,3099.48,8,NONE,paid
300953,1288,2024-12-26T09:37:36Z,,1532.98,1532.98,3,WINTER-FLYER,shipped
300955,1304,2024/12/05 09:49,,4407.45,4407.45,4,RAMADAN-BUNDLE,canceled
300961,1320,2024-12-16T11:12:15Z,,4871.8,,8,LUX-R6,paid
300963,1326,2024-12-08T07:57:06Z,,3049.85,3049.85,9,,shipped
300965,1326,2024-12-04T08:23:16Z,,5464.28,5464.28,6,RAMADAN-BUNDLE,paid
300969,1332,2024-12-07T08:24:01Z,,1274.49,1274.49,4,,paid
300976,1347,2024-12-11T07:01:32Z,,4992.71,,10,LUX-R6,canceled
300978,1348,2024-12-07T07:40:25Z,,2080.64,,5,LUX-R6,paid
300979,1350,2024-12-05T08:50:48Z,,1584.98,,3,NONE,paid
300989,1382,2024-12-03T13:56:27Z,,201.54,,2,WINTER-FLYER,paid
300994,1389,2024-12-13T13:11:26Z,,7208.95,,9,,paid
300998,1405,2024-12-18T13:58:40Z,,4138.26,,9,RAMADAN-BUNDLE,canceled
301001,1406,2024-12-01T06:35:13Z,,2584.31,,9,NONE,paid
301002,1411,2024-12-28T07:01:44Z,,3894.29,3894.29,7,,paid
301004,1418,2024-12-19T10:10:03Z,,8586.85,,11,NONE,paid
301006,1420,2024-12-01T12:47:23Z,,1427.7,1427.70,4,NONE,canceled
301017,1460,2024-12-13T06:38:05Z,,5562.71,,11,NONE,paid
301018,1468,2024-12-05T08:52:34Z,,4208.41,,8,WINTER-FLYER,canceled
301020,1471,2024-12-14T06:52:18Z,,8487.65,,14,NONE,shipped
301021,1482,2024-12-22T06:10:03Z,,3023.59,3023.59,7,,paid
301032,1551,2024-12-22T07:00:25Z,,4890.93,4890.93,10,NONE,paid
301038,1564,2024/12/28 08:26,,1576.74,,3,NONE,paid
301039,1565,2024-12-15T10:58:14Z,,1388.8,1388.80,6,WINTER-FLYER,pending_hold
301044,1572,2024-12-25T15:04:08Z,,4522.98,4522.98,8,NONE,shipped
301046,1575,2024-12-27T06:43:02Z,,5002.1,5002.10,4,LUX-R6,canceled
301047,1576,2024-12-17T06:11:47Z,,4629.02,,9,NONE,paid
301050,1581,2024-12-08T12:34:51Z,,1662.4,,2,LUX-R6,paid
301057,1596,2024/12/18 08:06,,3863.4,3863.40,7,,paid
301058,1596,2024-12-04T09:22:04Z,,3289.63,3289.63,7,LUX-R6,shipped
301061,1598,2024-12-15T09:54:12Z,,4325.52,,9,RAMADAN-BUNDLE,shipped
301066,1613,2024-12-13T06:35:52Z,,1675.07,1675.07,5,,paid
301069,1623,2024-12-15T06:05:16Z,,13225.24,,10,RAMADAN-BUNDLE,paid
301073,1626,2024-12-20T11:21:34Z,,1741.22,,4,RAMADAN-BUNDLE,pending_hold
301075,1635,2024-12-27T10:24:27Z,,4174.37,,10,LUX-R6,paid
301077,1643,2024-12-03T08:36:23Z,,3270.72,,4,RAMADAN-BUNDLE,paid
301079,1650,2024-12-15T12:26:13Z,,1435.74,,3,,shipped
301081,1650,2024-12-15T09:15:53Z,,3262.41,,7,,paid
301082,1657,2024-12-01T11:48:42Z,,1832.58,1832.58,7,,canceled
301084,1669,2024-12-21T12:38:35Z,,3963.51,3963.51,3,RAMADAN-BUNDLE,paid
301085,1669,2024-12-27T06:07:25Z,,3453.89,3453.89,7,NONE,paid
301099,1705,2024-12-25T07:31:30Z,,1903.12,1903.12,7,WINTER-FLYER,paid
301102,1709,2024-12-26T07:49:22Z,,1599.71,,4,LUX-R6,paid
301106,1718,2024-12-18T06:06:06Z,,1501.61,,3,LUX-R6,paid
301108,1732,2024-12-08T08:25:50Z,,3792.56,3792.56,8,,pending_hold
301110,1734,2024-12-27T08:28:41Z,,7106.81,7106.81,11,LUX-R6,pending_hold
301115,1741,2024/12/28 17:01,,6645.46,,9,WINTER-FLYER,pending_hold
301123,1780,2024-12-02T10:07:34Z,,9505.7,,14,,paid
301132,1797,2024-12-07T09:47:00Z,,863.92,,2,RAMADAN-BUNDLE,paid
301134,1805,2024-12-04T14:38:49Z,,4553.39,,6,WINTER-FLYER,pending_hold
301137,1823,2024-12-09T11:07:15Z,,3915.03,,7,RAMADAN-BUNDLE,canceled
