alias_id,account_name,branch_id,supplier_code
A50099,PH Metro Smouha Mall,714,1
A50100,Metro Smouha br.2,727,2
A50101,METRO SMOUHA Mall,727,2
A50102,Ph/Metro Smouha-A,731,1
A50103,Ph/METRO SMOUHA (2),731,1
A50104,el METRO SMOUHA Branch 1,744,1
A50105,PH METR SMOUHA,744,1
A50106,metro smouha,763,2
A50107,metro smouha Main Road,768,2
A50108,E-UNION PHARM REHAB VIEW-A,705,2
A50109,Ph/Union Pharm Rehab View,714,2
A50110,el UNION PHRAM REHAB VIEW Mall,722,1
A50111,UNION PHARM REHAB VIEW br.2,727,3
A50112,EL union pharm rehab vieww 011,727,3
A50113,el Union Pharm Rehab View,732,2
A50114,union pharm rehab view,732,2
A50115,Ph/Union Pharm Rehab View (2),767,3
A50116,Oemga Smouha133,700,1
A50117,PhOmega Smouha 04,762,2
A50118,PY/Omega Smouha Mall,762,2
A50119,Omega Smouha,777,2
A50120,PY/Omega Smouha 04477,780,1
A50121,Ph/omega smouha,780,1
A50122,EL OOmega Smouha Mall,781,1
A50123,PH Al Nozha Smouha Branch 2,733,1
A50124,El-Al Nozha Smouha Branch 1,760,4
A50125,AL NOZHA SMOUHA Main Road242,760,4
A50126,el Al Nozha Smouha 04,768,3
A50127,Al Nozha Smouha br.2,769,1
A50128,PH el zahraa maadi 04,716,1
A50129,El Zahraa Maadi br.2,716,1
A50130,el El ZZahraa Maadi 6th Zone,722,2
A50131,El-EL ZAHRAA MAADI 6th Zone,724,2
A50132,El Zahraa Maadi,724,2
A50133,El-el zahraa maadi (2),742,1
A50134,EL ZAHRAA MAADI 6th one582,742,1
A50135,El-El Zahraa Maadi br.2,743,3
A50136,Ph/El Zahraa Maadi,751,2
A50137,El Zahraa Maadi 011,770,1
A50138,EL METRO AGAMI-A,704,3
A50139,El-Metro Agami br.2939,704,3
A50140,el Metro Agami Branch 1294,723,1
A50141,EL metro agami,725,1
A50142,Metro Agami 6th Zone,727,4
A50143,Ph/METROO AGAMI 6th Zone,727,4
A50144,Ph/METRO AGAMI-A,734,1
A50145,Metro Agami 04,735,2
A50146,Ph/metro agami Main Road,735,2
A50147,METRO AGAMI Branch 2,737,1
A50148,EL METRO AGAMI 6th Zone,737,1
A50149,METRO AGAMI 04,749,3
A50150,PH Care 24 Seven,701,3
A50151,Care 24 Seven,705,3
A50152,PH Care 24 Seven Branch 2,710,1
A50153,CARE2 4 SEVEN 011622,710,1
A50154,care 24 seven Branch 1,713,2
A50155,Ph/CARE 24 SEVEN (2)38,713,2
A50156,Care 24 Seven,720,4
A50157,Care 24 Seven Branch 2,720,4
A50158,Care 24 Seven-A,737,2
A50159,PH care 24 seven 011,781,2
A50160,Ph/Omega Mall,703,2
A50161,OMMEGA Branch 1,703,2
A50162,PY/omega Mani Road,723,2
A50163,El-omega Branh 1,770,2
A50164,PY/Omea Station St.,770,2
A50165,EL EL NASR MARG Main Road,737,3
A50166,el El Nasr Marg Station t.,737,3
A50167,Ph/el nasr marg,767,4
A50168,Ph/El Nasr Marg 6th Zone,770,3
A50169,EL NASR MARG Main Road,770,3
A50170,el El Nasr Marg-A266,771,3
A50171,PY/El Nasr Marg Branch 2,771,3
A50172,el EL ZAHRAA SMOUHA Mall,721,1
A50173,PH El Zahraa Smouha Branch 2,721,1
A50174,PH El Zahraa Smouha br.2,742,2
A50175,PY/El Zarhaa Smouha-A,742,2
A50176,el zahraa smouha 04,748,2
A50177,el zahraa smouha Branch 2,765,1
A50178,El-El Zahraa Smouha Branch 1,775,1
A50179,EL El Zahraa Smouha 6th Zone131,775,1
A50180,EL al amal Mall,704,4
A50181,PH AL AMAL,704,4
A50182,Al Ama Branch 2475,725,2
A50183,El-al amal Branch 2361,740,3
A50184,Al Amal Mall,740,3
A50185,PH al amal Station St.,748,3
A50186,el Al Amal Mall,748,3
A50187,Ph/AlAmal (2),750,1
A50188,El-al amal,750,1
A50189,EL AlA mal 6th Zone,756,2
A50190,el al amal 04,756,2
A50191,Al Amal 6th Zone,772,6
A50192,Al Amal Mall,775,2
A50193,el al amal 011,775,2
A50194,El-care 24 seven,706,1
A50195,PY/care 24 seven 011451,726,4
A50196,el care 24 seven 011,736,1
A50197,el CARE 24 SEVEN,736,1
A50198,Care 2 4Seven Mall,737,4
A50199,Care 24 Seven-A,737,4
A50200,Care 24 Seven 011,744,2
A50201,Care 24 Seven,744,2
A50202,PH CCARE 24 SEVEN (2),749,4
A50203,care 24 seven 011,768,4
A50204,Care 24 Seven br.2,768,4
A50205,Ph/Care 24 Seven 6th Zone,770,4
A50206,ELIET-A,700,2
A50207,El-elite 6th Zone,747,3
A50208,elite (2)115,747,3
A50209,elite Branch 1,765,2
A50210,elite (2),776,2
A50211,PH Hope Smouha br.234,704,5
A50212,PH Hope Smouha,735,3
A50213,Hope Smouha 04,754,2
A50214,Hope Smouha Station St.,754,2
A50215,el HOPE SMOUHA,759,1
A50216,el el tourath (2),717,1
A50217,EL e tourath,717,1
A50218,El Touratth 04,749,5
A50219,El-EL TOURATH Branch 2,755,3
A50220,Ph/el tourath Branch 1,768,5
A50221,el EL TOURATH 011,775,3
A50222,Health Gate 6th Zone,701,4
A50223,el Health Gate,744,3
A50224,El-HEALTH GATE 011,744,3
A50225,Health Gtae,752,1
A50226,health gate Branch 2,765,3
A50227,el Health Gate Branch 1,765,3
A50228,EL Al Nozha Smouha,701,5
A50229,el AL NOZHA SMOUHA Branch 1,702,1
A50230,al nozha smouha Station St.,702,1
A50231,PY/Al Nozha Smouha 04,729,2
A50232,El-Al Nozha Smouha183,729,2
A50233,El-Al Nozha Smouha Main Road,757,2
A50234,AL NOZHA SMOUHA StationSt.,762,3
A50235,EL AL NOZHA SMOUHA 6th Zone289,773,1
A50236,PY/Al Nozha Smouh Main Road,773,1
A50237,PH Al Nozha Smouha Mall,777,3
A50238,Al Nozha Smouha,779,1
A50239,Ph/BLUE WAVE SMOUHA,711,1
A50240,Blue Wave Smouha Branch 2,713,3
A50241,Blue Wave Smouha 04,725,3
A50242,El-Blue Wave Smouha Branch 1,725,3
A50243,el blue wave smouha 6th Zone488,737,5
A50244,Ph/Blue Wave Smouha 6th Zone,737,5
A50245,El-Bleu Wave Smouha Station St.,746,1
A50246,el BLUE WAVE SMOUHA Branch 2,746,1
A50247,blue wave smouha 6th Zone,776,3
A50248,El-Blue Wave Smouha317,777,4
A50249,el blue wave smouha Branch 1,777,4
A50250,omega,730,3
A50251,el Oega,730,3
A50252,omeag Branch 2,744,4
A50253,el Omega Main Road,744,4
A50254,OMEGA (2),753,3
A50255,OMEGA,753,3
A50256,el OOMEGA 6th Zone,757,3
A50257,el omega Branch 2540,757,3
A50258,El-OMEGA Main Road,775,4
A50259,el silver care br.2232,703,3
A50260,PH Silver Care,719,1
A50261,EL Silver Care Mall,721,2
A50262,El-SILVER CARE-A,737,6
A50263,Ph/Silver Care Main Road,750,2
A50264,el silver care 6th Zone442,750,2
A50265,Ph/Silver Care 011,752,2
A50266,PH Silver Care958,752,2
A50267,Ph/Silver Care rBanch 1,755,4
A50268,SilverC are322,755,4
A50269,BLUE WAVE BANHA,723,3
A50270,Ph/Blue Wave Banha Mall,740,4
A50271,El-Blue Wave Banha 011,740,4
A50272,Ph/blue wave banha 04,750,3
A50273,Ph/BLUE WAVE BANHA Mall,750,3
A50274,Blue Wave Banha,754,3
A50275,BLUE WAVE BANHA 04,754,3
A50276,el BLUE WAVE BANHA Station St.,764,1
A50277,Blue Wave Banha,769,2
A50278,El-BLUE WAVE BANHA,769,2
A50279,PY/Blue Wave Banha-A,778,1
A50280,Ph/blue wave banha 6th Zone,778,1
A50281,EL El Faraby Smouha,722,3
A50282,Ph/el faraby smouha 04,738,1
A50283,El Faraby Smouha Branch 1,738,1
A50284,el faraby smouha-A,744,5
A50285,PH EL FARABY SMOUHA Station St.,748,4
A50286,El-EL FARABY SMOUHA 011,748,4
A50287,PY/misr smouha 011,708,1
A50288,PH misr smouha Station SSt.,712,1
A50289,Misr Smouha,712,1
A50290,ElMISR SMOUHA (2),751,3
A50291,MISRR SMOUHA Main Road,751,3
A50292,PY/Misr Smouha968,758,1
A50293,el Misr Smouha 6th Zone,758,1
A50294,MISR SMOUHA,760,5
A50295,Ph/misr smouha (2),770,5
A50296,EL Misr Smouha,770,5
A50297,PH STAR CARE SMOUHA Main Road,703,4
A50298,EL Star Care Smouha br.2,703,4
A50299,EL Star Care Smouha,706,2
A50300,El-Star Care Smouha-A,706,2
A50301,El-STAR CARE SMOUHA487,727,5
A50302,Star Care Smouha 6th Zone,727,5
A50303,STAR CARE SMOUHA br.2,756,3
A50304,Ph/Star Care Smouha 04,756,3
A50305,EL Star Care Smouha 011,763,3
A50306,Ph/Star Care Smouha 011,763,3
A50307,PY/STAR CARE SMOUHA,767,5
A50308,Star Care Smouha Branch 2162,767,5
A50309,EL star care smouha-A,771,4
A50310,El Faraby Smouha Branch 2,700,3
A50311,El Faraby Smouha 04,700,3
A50312,El-El Faraby Smouha br.2,707,2
A50313,EL EL FARABY SMOUHA Main Road,707,2
A50314,PH EL FAARBY SMOUHA,714,3
A50315,el faraby smouha,722,4
A50316,el faraby smouha 011,745,1
A50317,El Farby Smouha,745,1
A50318,El Faraby Smouha 6th Zone,746,2
A50319,Ph/El Faraby Smouha,754,4
A50320,El Faraby Smouha br.2,754,4
A50321,ElF araby Obour br.2,730,4
A50322,el faraby obour Branch 2,730,4
A50323,El-El Faraby Obour Branch 1,756,4
A50324,El-El Faraby Obour Brancch 1457,773,2
A50325,el faraby obour,773,2
A50326,EL life line helwan,735,4
A50327,EL Life Line Helwan 04,741,3
A50328,Lie Line Helwan,753,4
A50329,Ph/life line helwan-A,753,4
A50330,EL Life Line Helwan (2)952,756,5
A50331,Life Line Helwan Mall919,764,2
A50332,Life Linne Helwan Main Road,764,2
A50333,life ine helwan (2),772,7
A50334,PY/LIFE LINE HELWAN Station St.,772,7
A50335,PY/union pharm,708,2
A50336,Ph/UNION PHARM,742,3
A50337,union pharm Branch 2,742,3
A50338,Union Pharm Statioon St.,747,4
A50339,Ph/union pharm Main Road,747,4
A50340,Union Pharm,753,5
A50341,UNON PHARM 04,753,5
A50342,El-union pharm br.2,754,5
A50343,el union pharm,754,5
A50344,PH union pharm (2),768,6
A50345,UNION PHARM-A,768,6
A50346,EL Union Pharm,776,4
A50347,El Nasr Smouha548,710,2
A50348,El Nasr Smouha Mall,739,3
A50349,el nasr mouha,740,5
A50350,PH El Nasr Smouha Station St.,775,5
A50351,Mira Banha Station St.,701,6
A50352,P/Mira Banha-A,701,6
A50353,PY/Mira Banha Staiton St.,712,2
A50354,mira banha br.2,719,2
A50355,El-Mira Banha br.2,719,2
A50356,PY/Mira Banha 04195,734,2
A50357,mira banha232,734,2
A50358,PH mira banha br.2949,757,4
A50359,PY/MIRA BANHA 011,757,4
A50360,PH MIRA BANHA,763,4
A50361,Mira Banha-A,763,4
A50362,EL Mira Banha-A,770,6
A50363,Ph/MIRA BANHA Main Road,770,6
A50364,Mira Banha Mall,780,2
A50365,PY/Mira Banha 04,780,2
A50366,PH Omega Branch 1,709,1
A50367,el OMEGA Station St.,715,1
A50368,PH OOMEGA (2),733,2
A50369,el Omega Main Road,733,2
A50370,Omega Main Road396,773,3
A50371,Omega (2),773,3
A50372,EL SHIFA-A,702,2
A50373,PH EL SHIFA (2),702,2
A50374,EL SHIFA 6th Zone784,712,3
A50375,Ph/EL SHIFA (2),781,3
A50376,union pharm 011,718,1
A50377,PY/Union Pharm Station St.,726,5
A50378,El-Union Pharm Station St.930,726,5
A50379,Union Pharm Main Road,752,3
A50380,PY/UNION PHARM 6th Zone176,752,3
A50381,Union Pharm,770,7
A50382,PHH Union Pharm 04,773,4
A50383,PH UNION PHARM Branch 2,773,4
A50384,EL Union Pharm Branch 2,777,5
A50385,El-Union Pharm,780,3
A50386,Healht Gate Oct City 011,727,6
A50387,EL Health Gate Oct City Branch 2,737,7
A50388,Health Gate Oct City-A,750,4
A50389,PY/Health Gate Oct City 04,760,6
A50390,PY/HEALTHH GATE OCT CITY 04,774,1
A50391,el Health Gate Oct City Main Road,774,1
A50392,el Dr Medhat Smouha br.2,709,2
A50393,el Dr Medhat Smouha 04,709,2
A50394,PY/Dr Medhat Smouha Mall,735,5
A50395,dr medhat smouha-A985,735,5
A50396,PH Dr Medhat Smouha 04,748,5
A50397,PH Dr Medhat Smouha Mall,751,4
A50398,PY/DR MEDHAT SMOUHA-A,752,4
A50399,el dr medhat smouha 6th Zone,752,4
A50400,El-Dr Medhat Smouha (2),767,6
A50401,PH DR MEDHAT SMOUHA,782,3
A50402,Dr Medhat Smouha 04,782,3
A50403,Health Gate Smouha-A,727,7
A50404,EL Health Gate Smoua-A,737,8
A50405,Health Gate Smouha Branch 1225,737,8
A50406,El-Health Gate Smouha 6th Zone,752,5
A50407,El-health gate smouha,775,6
A50408,PY/HEALTH GATE SMOUHA Station St.,775,6
A50409,METRO OCT CITY Main Road,714,4
A50410,Metro Oct City Statio St.686,748,6
A50411,el METRO OCT CITY br.2,750,5
A50412,Al Amal (2),711,2
A50413,EL Al AmalS tation St.113,711,2
A50414,Ph/A AMAL,730,5
A50415,El-al amal (2),730,5
A50416,El-al amal Main Road,761,4
A50417,al amal Station St.,761,4
A50418,PY/El Shifa Smouha Main Road,718,2
A50419,PH el shifa smouha,718,2
A50420,PY/el shifa smouha (2),720,5
A50421,EL El Shifa Smouha br.2,720,5
A50422,EL EL SHIFA SMOUHA 011,730,6
A50423,EL EL SHIFA SMOUHA Main Road,759,2
A50424,El Shifa Smouha,769,3
A50425,PY/GREEN LEAF Branch 1,713,4
A50426,EL Green Leaf br.2,725,4
A50427,el green leaf Branch 2,727,8
A50428,El-Green Leaf br.2787,727,8
A50429,EL GREEN LEAF 6th Zone,731,2
A50430,PY/GREEN LEAF 6th Zone,755,5
A50431,EL green leaf Branch 2237,755,5
A50432,Green Leaf 011410,766,2
A50433,green leaf,766,2
A50434,Green Leaf 011,772,8
A50435,Ph/GREEN LEAF,772,8
A50436,Ph/Mira Smouha Mall,723,4
A50437,el Mira Smouha Mall,744,6
A50438,mira smouha,744,6
A50439,EL Mira Smouha 6th Zone,750,6
A50440,PH silver care obour Branch 1,702,3
A50441,PY/SILVER CARE OBOUR 04,702,3
A50442,silver care obour-A,703,5
A50443,SILLVER CARE OBOUR br.2,703,5
A50444,EL silver care obour,745,2
A50445,El-Silver Care Obou 04,776,5
A50446,Silver Care Obour 04,776,5
A50447,Ph/AL AMAL 04,712,4
A50448,AlAmal 011,719,3
A50449,EL al amal 04,719,3
A50450,PY/al amal,748,7
A50451,al ammal 011,753,6
A50452,EL al aal,753,6
A50453,el AL AMAL (2),766,3
A50454,al amal 011,766,3
A50455,ALPHA PHARMA Branch 2,706,3
A50456,El-ALPHA PHARMA Branch 2,706,3
A50457,Ph/alpha pharma Branch 1,709,3
A50458,El-alpha pharma 011,709,3
A50459,el Alpha Pharma,714,5
A50460,Ph/ALPHA PHARMA 011,714,5
A50461,Ph/Alpha Pharma (2),729,3
A50462,EL ALPHA PHARMA 04,733,3
A50463,El-Alpha Pharma (2)687,733,3
A50464,Alpha Pharma675,738,2
A50465,alpha pharma 04,749,6
A50466,EL SILVER CARE583,707,3
A50467,PH silver care,710,3
A50468,silver care 011,710,3
A50469,el SILVER CARE 011,732,3
A50470,e lsilver care,732,3
A50471,silver care 04,734,3
A50472,El-Silver Care br.2820,735,6
A50473,PY/Silver Care Branch 2,739,4
A50474,PH SILVER CARE Mall,739,4
A50475,Ph/SILVER CARE,766,4
A50476,Silver Care Branch 2,766,4
A50477,EL CITY CARE SMOUHA,714,6
A50478,PH CITY CARE SMOUHA Branch 1,750,7
A50479,Ph/City Care Smouha (2),750,7
A50480,CITY CARRE SMOUHA (2),751,5
A50481,City Care Smouha Branch 1,760,7
A50482,PH Citty Care Smouha,760,7
A50483,el City Care Smouha br.2,767,7
A50484,El-City Care Smouha Branch 2,767,7
A50485,El-Cit Care Smouha-A,779,2
A50486,Ph/Misr Main Road324,706,4
A50487,El-misr tSation St.,710,4
A50488,misr Branch 1,716,2
A50489,Misr Branch 1,716,2
A50490,MISR 011,722,5
A50491,EL Misr Branch 2984,735,7
A50492,EL Misr,778,2
A50493,El-misr br.2517,778,2
A50494,Dr Medhat Smouha (2),702,4
A50495,DR MEDHAT SMOUHA Mall,712,5
A50496,Dr Medhhat Smouha 011,712,5
A50497,DR MEDHAT SMOUHA 101,761,5
A50498,EL Dr Medhat Smouha Branch 2,761,5
A50499,green leaf 6th Zone,716,3
A50500,green leaf 6th Znoe,716,3
A50501,El-GREEN LEAF,742,4
A50502,el GREEN LEAF Station St.,744,7
A50503,El-Green Leaf Branch 2,769,4
A50504,ell Green Leaf 011,769,4
A50505,el zahraa smouha Station St.,706,5
A50506,El-El Zahhraa Smouha,706,5
A50507,Ph/EL ZAHRAA SMOUHA,728,1
A50508,El Zahraa Smouha Mall,728,1
A50509,el El Zahraa Smouha Main Road329,729,4
A50510,El-El Zahraa Smouha Station St.,734,4
A50511,PH El Zahraa Smouha 04,740,6
A50512,El Zahraa Smouha,751,6
A50513,el zahraa smouha Station t.,751,6
A50514,El-el zahraa smouha,762,4
A50515,Ph/El Zahraa Smouha Mall,762,4
A50516,PH Green Leaf Branch 2,706,6
A50517,PH Green Leaf Mall,725,5
A50518,GREEN LEAF,732,4
A50519,el GREEN LEAF br.2,732,4
A50520,PH Green Leaf,770,8
A50521,El-GREEN LEAF (2),781,4
A50522,el GREEN LEAF,781,4
A50523,el Alpha Pharma Smouha Station St.,714,7
A50524,El-Alpha Pharma SSmouha Main Road,714,7
A50525,El-alpha pharma smouha br.2,723,5
A50526,El-ALPHA PHARMA SMOUHA Branch 2508,723,5
A50527,el alpha pharma smouha Branch 2,743,4
A50528,el Alpha Pharma Smouha Branch 2254,743,4
A50529,el Alpha Pharma Smouha Branch 2,749,7
A50530,Alpha Parma Smouha375,764,3
A50531,PH El Hokama Harram,733,4
A50532,EL EL HOKAMA HARAM,745,3
A50533,El Hokama Haram (2),745,3
A50534,el el hokama haram Station St.,781,5
A50535,Ph/SUNRISE NOZHA-A564,705,4
A50536,PY/Sunrise Nozha,714,8
A50537,El-SUNRISE NOZHA Branch 2,757,5
A50538,PY/SUNRISE NOZHA br.2,761,6
A50539,el Sunrise Nozha Main Road,761,6
A50540,Ph/SUNRIES NOZHA-A,772,9
A50541,Salmtek Main Road,706,7
A50542,Ph/Sallamtek,706,7
A50543,PH Salamtek,711,3
A50544,PH Salatek,736,2
A50545,SAAMTEK,736,2
A50546,el Salamtek Main Road,744,8
A50547,salamtek-A,749,8
A50548,El-salamtek Branch 1,749,8
A50549,El-salamtek Mall834,774,2
A50550,Salamtek987,778,3
A50551,Better Life Main Road,710,5
A50552,Better Life (2),710,5
A50553,Ph/better life 6th Zone,725,6
A50554,Better Life-A,725,6
A50555,PY/Better Life104,734,5
A50556,EL BETTER LIFE,741,4
A50557,Ph/Btter Life Branch 1212,752,6
A50558,EL Better Life Station St.,772,10
A50559,Bettre Life 04,772,10
A50560,Ph/Enb Sina Rehab View,714,9
A50561,el EBN SINA REHAB VIEW 04,719,4
A50562,Ebn Sina Rehab View532,719,4
A50563,EBN SINA REHAB VIEW (2),727,9
A50564,El-Ebn Sina ehab View Branch 2,729,5
A50565,PH Ebn Sina Rehab View Mall,729,5
A50566,Ebn Sina Rehab View Branch 2,756,6
A50567,PH EBN SINA REHAB VIEW Branch 2,756,6
A50568,Ph/Ebn Sina Rehab View-A,761,7
A50569,EL EBN SINA REHAB VIEW,766,5
A50570,ebn sina rehab view r.2,771,5
A50571,el star care square 04,719,5
A50572,EL Star Care Square Main Road,719,5
A50573,PY/STAR CARE SQUARE 6th Zone,728,2
A50574,El-Star Care Square 011,728,2
A50575,STAR CARE SQUARE Station St.,766,6
A50576,Star Care Square 6th Zone,766,6
A50577,Star Care Squae Station St.,771,6
A50578,el Star Care Square br.2,778,4
A50579,PH STAR CARE SQUARE Mall,778,4
A50580,el star care square-A,780,4
A50581,better life smouha (2),726,6
A50582,Ph/Better Life Smouha (2),742,5
A50583,PH better life smouha186,744,9
A50584,EL Better Life Smouha 011,746,3
A50585,better life smouha-A,750,8
A50586,Better Life Smouha 04978,777,6
A50587,Ph/better life smouha br.2,777,6
A50588,El-Nile Care Helwan 04,704,6
A50589,el NILE CARE HELWAN Mall,708,3
A50590,El-Nile Care Helwan Mall,775,7
A50591,PY/Nile Caree Helwan Mall,775,7
A50592,Ph/nile care helwa Main Road,778,5
A50593,nile care helwan (2),778,5
A50594,Ph/Hope Obour (2),730,7
A50595,El-Hope Obour 04,754,6
A50596,hope obour (2),758,2
A50597,El-Hope Obour-A409,780,5
A50598,EL Hope Obour 011,780,5
A50599,GOLDEN CARE,701,7
A50600,Ph/Golden Care,701,7
A50601,EL GoldenCare,729,6
A50602,Ph/GOLDEN CARE Branch 1,731,3
A50603,el golden care br.2,731,3
A50604,PY/GOLDEN CARE 04,739,5
A50605,GOLDEN CARE,768,7
A50606,Ph/GOLDEN CARE,768,7
A50607,Angel Dokki Banch 2,726,7
A50608,EL Angel Dokki Station St.,742,6
A50609,EL ANGEL DOKKI Branch 1,742,6
A50610,PH Angel Dokki 6th Zone,763,5
A50611,PH angel dokki Mall,769,5
A50612,el Angel Dokki 011,769,5
A50613,PY/Salamtek b.2,709,4
A50614,Salamtek,730,8
A50615,el SALAMTEK Main Road,730,8
A50616,el salamtek 011,732,5
A50617,El-Salamtek-A,732,5
A50618,El-SALAMTEK,778,6
A50619,el Salamtek Brancch 2,780,6
A50620,PY/Golden Care Haram Branch 1,708,4
A50621,el Golden Care Haram (2),712,6
A50622,PY/Golden Care Haram Main Road,712,6
A50623,el golden care haram br.2,719,6
A50624,EL Golden Care Haram 011,724,3
A50625,EL Golden Care Haarm 6th Zone,757,6
A50626,Ph/Golden Care Haram br.2,757,6
A50627,golden care haram-A,775,8
A50628,el Golden Care Haram 0448,775,8
A50629,el Golden Care Haram Station St.,779,3
A50630,GOLDEN CARE HARAM 6th Zone,780,7
A50631,El-SALAMTEK IMBABA725,707,4
A50632,salamtek imbaba Branch 2,707,4
A50633,SALAMTEK IMBABA Mall,733,5
A50634,SALAMTEK IMBABA br.2,744,10
A50635,El-SALAMTEK IMBABA Station St.849,748,8
A50636,PY/Salamtek Imbaba-A,751,7
A50637,salamtek imbaba br.2,751,7
A50638,el Salamtek Imbaba br.2,763,6
A50639,el SALAMTEK IMBABA 04,764,4
A50640,PH SALAMTEK IMBABA br.2,780,8
A50641,Salamtek Imbaba,780,8
A50642,Blue Wave Rehab View 011,706,8
A50643,EL Blue Wave Rehab View-A,707,5
A50644,blue wave rehab view,734,6
A50645,el Blue Wave Rehab View,756,7
A50646,EL blue wave rehab view-A,756,7
A50647,Blu eWave Rehab View Branch 1,765,4
A50648,Blue Wave Rehab View (2),766,7
A50649,BLUE WAVE REHAB VIEW (2)78,781,6
A50650,el blue wave rehab view Branch 2583,781,6
A50651,PY/nile care br.2,726,8
A50652,PH NILE CAREE Station St.,726,8
A50653,PH Nile Carre Branch 2,730,9
A50654,el nile care 6th Zone,735,8
A50655,nile care Mall,735,8
A50656,PH Dr Medhat Branch 2,737,9
A50657,DR MEDHHAT,766,8
A50658,Dr Medhat Station St.,766,8
A50659,El-Dr Medhat,776,6
A50660,EL Dr Medhat 6th Zone,776,6
A50661,el El Shifa Zayed-A543,729,7
A50662,PH el shifa zayed,731,4
A50663,Ph/el shifa zayed,731,4
A50664,PY/EL SHIFA ZAYED,745,4
A50665,Ph/El Shifa Zayed 6th Zone,748,9
