branch_id,parent_company,branch_tag,governorate,area,min_order_value_egp,payment_terms_days,standard_discount_pct,fill_rate_gap_pct,merged_into_branch_id
728,Delta Star Medical Trade,A728,Giza,Faisal,2500.0,7,14.0,3.5,
729,Delta Star Medical Trade,B729,Cairo,Nasr City,2400.0,7,14.0,3.5,
730,Pyramid Health Supplies,A730,Giza,Mohandessin,4500.0,15,20.8,4.5,
731,Pyramid Health Supplies,B731,Cairo,Nasr City,4860.0,15,20.8,4.5,
732,Pyramid Health Supplies,C732,Giza,Mohandessin,5220.0,15,20.8,4.5,
733,Modern Chain Distributors,A733,Giza,Mohandessin,2500.0,0,14.8,0.5,
734,Modern Chain Distributors,B734,Giza,Faisal,2575.0,0,14.8,0.5,
735,Modern Chain Distributors,C735,Alexandria,Smouha,2225.0,0,14.8,0.5,
736,United Bazaar Pharma,A736,Giza,Mohandessin,3500.0,30,16.2,6.4,
737,Sinai Bridge Trading,A737,Giza,Faisal,1500.0,0,21.8,4.8,
738,Sinai Bridge Trading,B738,Alexandria,Smouha,1605.0,0,21.8,4.8,
739,Sinai Bridge Trading,C739,Alexandria,Smouha,1635.0,0,21.8,4.8,
740,Green Delta Enterprises,A740,Giza,Mohandessin,2000.0,0,19.8,8.4,
741,Green Delta Enterprises,B741,Giza,Mohandessin,1720.0,0,19.8,8.4,
742,Green Delta Enterprises,C742,Giza,Faisal,2060.0,0,19.8,8.4,
743,Horus Elite Logistics,A743,Giza,Mohandessin,2000.0,45,8.2,6.1,
744,Horus Elite Logistics,B744,Giza,Faisal,2440.0,45,8.2,6.1,
745,Southern Cross Pharma,A745,Giza,Faisal,3000.0,45,12.6,1.8,
746,Southern Cross Pharma,B746,Giza,Faisal,3330.0,45,12.6,1.8,
747,Southern Cross Pharma,C747,Alexandria,Smouha,2760.0,45,12.6,1.8,
748,Karnak Medical Trading,A748,Giza,Mohandessin,2500.0,15,8.0,4.9,
749,Karnak Medical Trading,B749,Alexandria,Smouha,2575.0,15,8.0,4.9,
750,Pearl Route Agencies,A750,Giza,Mohandessin,3500.0,15,12.1,8.4,
751,Falcon Wholesale Co.,A751,Giza,Faisal,1500.0,45,23.3,5.5,
752,Falcon Wholesale Co.,B752,Giza,Mohandessin,1815.0,45,23.3,5.5,
753,Falcon Wholesale Co.,C753,Giza,Mohandessin,1620.0,45,23.3,5.5,
754,October Central Supply,A754,Giza,Faisal,2500.0,0,12.7,3.4,706
755,October Central Supply,B755,Cairo,Nasr City,2625.0,0,12.7,3.4,706
756,Al Wadi Medical Providers,A756,Cairo,Nasr City,2000.0,45,23.7,4.5,
757,Al Wadi Medical Providers,B757,Alexandria,Smouha,2400.0,45,23.7,4.5,
758,Two Rivers Distribution,A758,Cairo,Nasr City,2500.0,30,17.5,6.0,706
759,Two Rivers Distribution,B759,Giza,Mohandessin,2775.0,30,17.5,6.0,706
760,Two Rivers Distribution,C760,Giza,Mohandessin,2975.0,30,17.5,6.0,706
761,Supreme Shelf Logistics,A761,Alexandria,Smouha,3000.0,45,16.9,3.5,
762,Supreme Shelf Logistics,B762,Giza,Faisal,2940.0,45,16.9,3.5,
763,Saqqara Trade House,A763,Giza,Mohandessin,2500.0,15,22.2,6.2,
764,Saqqara Trade House,B764,Cairo,Nasr City,2300.0,15,22.2,6.2,
765,Basil Corner Providers,A765,Alexandria,Smouha,2500.0,30,25.8,3.7,
766,Basil Corner Providers,B766,Cairo,Nasr City,2925.0,30,25.8,3.7,
767,Khufu Line Agencies,A767,Cairo,Nasr City,3500.0,30,12.5,1.4,
768,Ocean Front Distributors,A768,Cairo,Nasr City,4500.0,15,18.0,8.0,
769,Ocean Front Distributors,B769,Giza,Faisal,5445.0,15,18.0,8.0,
770,Marina Bay Trade,A770,Alexandria,Smouha,3000.0,45,13.3,4.8,
771,Marina Bay Trade,B771,Cairo,Nasr City,2730.0,45,13.3,4.8,
772,Desert Bloom Suppliers,A772,Giza,Faisal,1500.0,30,12.8,3.3,
773,Desert Bloom Suppliers,B773,Alexandria,Smouha,1380.0,30,12.8,3.3,
774,Desert Bloom Suppliers,C774,Giza,Mohandessin,1785.0,30,12.8,3.3,
775,Corner Stone Medical,A775,Giza,Mohandessin,3500.0,7,23.8,7.0,
776,Seven Palms Distribution,A776,Giza,Mohandessin,2000.0,0,16.9,9.0,
777,Seven Palms Distribution,B777,Giza,Faisal,1980.0,0,16.9,9.0,
778,Seven Palms Distribution,C778,Cairo,Nasr City,1920.0,0,16.9,9.0,
779,Iron Gate Wholesale,A779,Cairo,Nasr City,1500.0,0,24.0,8.3,
780,Alex Marine Providers,A780,Giza,Mohandessin,2500.0,0,17.0,1.8,
781,Alex Marine Providers,B781,Cairo,Nasr City,2575.0,0,17.0,1.8,
782,Summit Crest Trading,A782,Giza,Faisal,3500.0,45,18.1,3.4,
